"Admin Accounts Locks","Beheerder Accounts Sloten"
"Auto-generate a Key","Automatisch een sleutel genereren."
"Change Encryption Key","Verander Encryptie Code"
"Encryption Key Change","Encryptie Code Veranderen"
"Encryption key format is invalid.","Encryptie code formaat is ongeldig."
"Encryption key has been changed.","Encryptie code is verandert."
"Failures","Mislukkingen"
"File %s is not writeable.","Bestand %s is niet schrijfbaar."
"Forced","Gedwongen"
"ID","identiteit"
"If empty, this feature will be disabled.","Indien leeg, zal deze functie worden uitgeschakeld."
"Last login","Laatste login"
"Locked Admins","Gesloten Admins"
"Locked Users","Gesloten Gebruikers"
"Locked administrators","Gesloten Beheerders"
"Locked until","Gesloten tot"
"Lockout Time (minutes)","Lockout Tijd (minuten)"
"Manage Encription Key","Beheer Encryptie code"
"Manage Encryption Key","Beheer Encryptie code"
"Maximum Login Failures to Lockout Account","Maximale Foute Logins om het Account te sluiten"
"New Encryption Key","Nieuwe Encryptie Code"
"New Key","Nieuwe Code"
"Password Change","Wachtwoord Wijzigen"
"Password Lifetime (days)","Levensduur Wachtwoord (dagen)"
"Permissions","Machtigingen"
"Please enter an encryption key.","Vul een encryptie sleutel in."
"Recommended","Aanbevolen"
"System","systeem"
"The encryption key is used to encrypt passwords and other sensitive data.","De encryptie sleutel wordt gebruikt om wachtwoorden en andere gevoelige gegevens te coderen."
"The generated key will be displayed after changing.","De gegenereerde sleutel wordt weergegeven na het veranderen."
"This account is locked.","Dit account is geblokkeerd."
"This password was used earlier, try another one.","Dit wachtwoord is eerder gebruikt, probeer een andere."
"To make key change possible, make sure the following file is writeable: %s","Om sleutel wijzigingen mogelijk te maken, zorg ervoor dat het volgende bestand beschrijfbaar is: % s"
"Unlock","Openen"
"Unlocked %d user(s).","Open %d gebruiker(s)."
"Username","Gebruikersnaam"
"Your new encryption key: <span style=""font-family:monospace;"">%s</span>. Please make a note of it and make sure you keep it in a safe place.","Uw nieuwe encryptiesleutel: <span style=""font-family:monospace;"">%s</span>. Noteer deze alstublieft en bewaar hem op een veilige plaats."
"Your password has expired, please <a href=""%s"">change it</a>.","Uw wachtwoord is verlopen, <a href=""%s"">verander hemt</a> alstublieft."
"Your password has expired, please contact administrator.","Uw wachtwoord is verlopen, kunt neem contact op met de beheerder."
"Your password has expired, you must change it now.","Uw wachtwoord is verlopen, u moet het nu veranderen."
