"Add Amount","Voeg aantal toe"
"All Websites","Alle websites"
"Allow Gift Message","Sta cadeau-bericht toe"
"Allow Message","Sta bericht toe"
"Amount","Aantal"
"Amount in %s","Aantal is %s"
"An error has occurred while preparing Gift Card.","Er is een fout opgetreden bij het klaarmaken van de cadeaubon."
"Card Type","Kaart type"
"Catalog Product View (Gift Card)","Catalogus producten weergave (cadeaukaart)"
"Choose an Amount...","Kies een aantal..."
"Combined","Gecombineerd"
"Delete","weghalen"
"Delete Amount","Verwijder aantal"
"Email Template","E-mail template"
"Entered amount is too high","Ingevoerd aantal is te hoog"
"Entered amount is too low","Ingevoerd aantal is te laag"
"From","Van"
"Generate Gift Card Account when Order Item is","Genereer cadeaukaart rekening wanneer bestellingsitem is"
"Gift Card","Cadeaubon"
"Gift Card Accounts","Cadeaukaart rekeningen"
"Gift Card Accounts Generated From Gift Card","Cadeaukaart rekeningen gegenereerd vanaf cadeaukaart"
"Gift Card Email Settings","Cadeaukaart e-mail waarden"
"Gift Card General Settings","Cadeaukaart algemene waarden"
"Gift Card Information","Cadeaukaart informatie"
"Gift Card Is Redeemable","Cadeaukaart is inwisselbaar"
"Gift Card Lifetime","Cadeaukaart levenstijd"
"Gift Card Message","Cadeaukaart bericht"
"Gift Card Notification Email Sender","Cadeaukaart notificatie e-mail afzender"
"Gift Card Notification Email Template","Cadeaukaart notificatie e-mail template"
"Gift Card Recipient","Cadeaukaart ontvanger"
"Gift Card Sender","Cadeaukaart afzender"
"Gift Card Type","Cadeaukaart type"
"Gift Card max amount is %s","Maximaal aantal cadeaukaarten is %s"
"Gift Card min amount is %s","Minimaal aantal cadeaukaarten is %s"
"Gift Message Maximum Length","Cadeau bericht maximale lengte"
"If empty no expiration.","Indien leeg geen vervaldatum."
"Invoiced","Gefactureerd."
"Is Redeemable","Is inwisselbaar"
"Lifetime (days)","Levenstijd (in dagen)"
"Maximum length of the message is %d characters.","Maximale lengte van het bericht is %d karakters"
"Maximum: %s","Maximum: %s."
"Message","Bericht"
"Minimum: %s","Minimum: %s"
"N/A","n.v.t."
"No","Nee"
"Ordered","Bestelt"
"Other Amount...","Ander aantal..."
"Physical","Tastbaar"
"Please specify Gift Card amount.","Specificeer a.u.b. cadeaukaart aantal."
"Please specify all the required information.","Specificeer a.u.b. alle benodigde informatie"
"Please specify recipient email.","Specificeer a.u.b. ontvanger e-mail"
"Please specify recipient name.","Specificeer a.u.b. ontvangers naam."
"Please specify sender email.","Specificeer a.u.b. e-mail van verzender."
"Please specify sender name.","Specificeer a.u.b. naam van verzender"
"Quantity","Hoeveelheid"
"Recipient Email","E-mail van ontvanger"
"Recipient Name","Naam van ontvanger"
"Redeemable","inwisselbaar"
"Sender Email","E-mail van verzender"
"Sender Name","Naam van verzender"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","Een aantal van de cadeaubon accounts werden niet goed gegenereerd. U kunt <a >hier</a> handmatig cadeaubon accounts aanmaken."
"Unable to create.","Niet in staat om te creëren."
"Up To","Tot aan"
"Use Config Settings","Gebruik configuratiewaarden"
"Virtual","Virtueel"
"Yes","Ja"
"[GLOBAL]","[WERELDWIJD]"
"[STORE VIEW]","[WINKEL WEERGAVE]"
