"200 OK","200 OK"
"503 Service Unavailable","503 Serviço Indisponível"
"Access Restriction","Acesso Restrito"
"Applicable only if restriction mode is ""Website Closed"". Landing page is rendered as raw HTML.","Aplicável apenas no modo de restrição ""Website Fechado"". A página de chegada é processada como HTML puro."
"Applicable only in ""Private Sales"" mode.","Aplicável apenas no modo ""Vendas Privadas""."
"CMS Content Wrapper","Adaptador de conteúdo de SGC"
"HTTP Response","Resposta HTTP"
"Landing Page","Página de entrada"
"Main Content Area","Área de Conteúdo Principal"
"Private Sales: Login Only","Vendas Privadas: Somente Login"
"Private Sales: Login and Register","Vendas Privadas: Login e Registro"
"Restriction Mode","Modo de Restrição"
"Startup Page","Página Inicial"
"To landing page (302 Found)","Para página de chegada (302 Encontrado)"
"To login form (302 Found)","Para formulário de login (302 Encontrado)"
"Website Closed","Website Fechado"
"Website Closed Private Sales Landing Page","Website Fechado Página de Chegada Vendas Privadas"
"Website Closed Stub Page","Website Fechado Página Provisória"
