"-- First Please Select a Website --","-- Por favor, Primero Elija
una Página de Internet --"
"Action","Acción"
"Active","Activo"
"Add Gift Card","Añada una Tarjeta de Regalo"
"Add Gift Card Account","Añada una Cuenta de Tarjetas de Regalo"
"Additional information","Información adicional"
"Alphabetical","Orden alfabético"
"Alphanumeric","Alfanumérico"
"Are you sure you want to delete these gift card accounts?","¿Está seguro de que quiere borrar estas cuentas de tarjetas de regalo?"
"Available","Disponible"
"Balance","Saldo"
"Balance Change","Alteración del saldo"
"Balance cannot be less than zero.","El saldo no puede ser inferior a cero."
"By admin: %s.","Por administración: %s."
"Cannot apply Gift Card","No puede utilizar la Tarjeta de Regalo"
"Cannot apply gift card.","No puede utilizar la tarjeta de regalo."
"Cannot redeem Gift Card.","No puede canjear la Tarjeta de Regalo."
"Cannot remove Gift Card","No puede eliminar la Tarjeta de Regalo"
"Cannot remove gift card.","No puede eliminar la tarjeta de regalo."
"Check","Verificar"
"Check Gift Card status and balance","Verificar el estado y el saldo de la Tarjeta de Regalo"
"Check status and balance","Verificar el estado y el saldo"
"Code","Código"
"Code Format","Formato del Código"
"Code Length","Longitud del Código"
"Code Prefix","Prefijo del Código"
"Code Suffix","Sufijo del Código"
"Created","Creado"
"Current Balance: %s","Saldo Actual: %s"
"Customer #%s.","Cliente #%s."
"Customer My Account Gift Card Check Form","Cliente Mi Cuenta Tarjeta de Regalo Verificar Formulario"
"Customers","Clientes"
"Dash Every X Characters","Guión Cada X Caracteres"
"Date","Fecha"
"Date Created","Fecha Creada"
"Delete","Eliminar"
"Do you really want to proceed? All unsaved changes will be lost.","¿Realmente desea continuar? Se perderán todos los cambios no guardados."
"Edit Gift Card Account","Editar Cuenta de Tarjetas de Regalo"
"Edit Gift Card Account: %s","Editar Cuenta de Tarjetas de Regalo: %s"
"Email Sent from Gift Card Account Management","Mensaje Electrónico Enviado desde el Gestor de Cuentas de Tarjetas de Regalo"
"Email Template","Plantilla de email"
"Email was not sent because the gift card account is not active.","El Mensaje no ha sido enviado porque la cuenta de tarjetas de regalo no está activada."
"Enter Gift Card code","Introducir código de la tarjeta de regalo"
"Enter gift card code","Introduzca el código de la tarjeta de regalo"
"Enter the gift card code","Introducir el código de la tarjeta de regalo"
"Excluding prefix, suffix and separators.","No incluir el prefijo, el sufijo ni los separadores."
"Expiration Date","Fecha de Caducidad"
"Expiration date cannot be in the past.","La fecha de caducidad no puede referirse al pasado."
"Expired","Caducada"
"Expires: %s","Caduca el: %s"
"Generate","Generar"
"Gift Card","Cheque regalo"
"Gift Card ""%s"" was added.","Se agregó la tarjeta de regalo""%s""."
"Gift Card ""%s"" was redeemed.","Se canjeó la tarjeta de regalo""%s""."
"Gift Card ""%s"" was removed.","Se eliminó la tarjeta de regalo""%s""."
"Gift Card (%s)","Tarjeta de Regalo (%s)"
"Gift Card Account","Cuenta de Tarjetas de Regalo"
"Gift Card Account General Settings","Configuración General de la Cuenta de Tarjetas de Regalo"
"Gift Card Account Sent From Edit Page","Cuenta de Tarjetas de Regalo Enviada Desde la Página de Edición"
"Gift Card Account has been deleted.","Se ha eliminado la Cuenta de Tarjetas de Regalo."
"Gift Card Accounts","Cuentas de Tarjeta Regalo"
"Gift Card Balance Check Form","Formulario de Verificación del Saldo de la Tarjeta de Regalo"
"Gift Card Code","Código de la Tarjeta de Regalo"
"Gift Card Email Sender","Remitente de Correo Electrónico de la Tarjeta de Regalo"
"Gift Card Template","Plantilla de Tarjetas de Regalo"
"Gift Card amount applied to order: %s","Cantidad en la Tarjeta de Regalo aplicada al pedido: %s"
"Gift Card status","Estado de la Tarjeta de Regalo"
