"Add Amount","Adicionar valor"
"All Websites","Todos os sites"
"Allow Gift Message","Permitir mensagem de presente"
"Allow Message","Permitir mensagem"
"Amount","Valor"
"Amount in %s","Valor em %s"
"An error has occurred while preparing Gift Card.","Ocorreu um erro ao preparar o Cartão de Presente."
"Card Type","Tipo de cartão"
"Catalog Product View (Gift Card)","Visualização de produto do catálogo (Cartão de Presente)"
"Choose an Amount...","Escolha um valor..."
"Combined","Somado"
"Delete","Excluir"
"Delete Amount","Excluir valor"
"Email Template","Modelo de e-mail"
"Entered amount is too high","O valor inserido é muito alto"
"Entered amount is too low","O valor inserido é muito baixo"
"From","De"
"Generate Gift Card Account when Order Item is","Gerar Conta de Cartão de Presente quando o Item do  Pedido for"
"Gift Card","Cartão de presente"
"Gift Card Accounts","Contas de Cartão de Presente"
"Gift Card Accounts Generated From Gift Card","Contas de Cartão de Presente gerada a partir do Cartão de Presente"
"Gift Card Email Settings","Configurações de e-mail e Cartão de Presente"
"Gift Card General Settings","Configurações gerais de Cartão de Presente"
"Gift Card Information","Informações de Cartão de Presente"
"Gift Card Is Redeemable","O Cartão de Presente é resgatável"
"Gift Card Lifetime","Validade do Cartão de Presente"
"Gift Card Message","Mensagem do Cartão de Presente"
"Gift Card Notification Email Sender","Notificação de e-mail de remetente do Cartão de Presente"
"Gift Card Notification Email Template","Modelo de e-mail de notificação do Cartão de Presente"
"Gift Card Recipient","Destinatário do Cartão de Presente"
"Gift Card Sender","Remetente do Cartão de Presente"
"Gift Card Type","Tipo de Cartão de Presente"
"Gift Card max amount is %s","O valor máximo do Cartão de Presente é %s"
"Gift Card min amount is %s","O valor mínimo do Cartão de Presente é %s"
"Gift Message Maximum Length","Tamanho máximo da mensagem do presente"
"If empty no expiration.","Caso esteja em branco, não há validade."
"Invoiced","Faturado"
"Is Redeemable","É resgatável"
"Lifetime (days)","Validade (dias)"
"Maximum length of the message is %d characters.","O tamanho máximo da mensagem é de %d caracteres."
"Maximum: %s","Máximo: %s"
"Message","Mensagem"
"Minimum: %s","Mínimo: %s"
"N/A","Indisponível"
"No","Não"
"Ordered","Solicitado"
"Other Amount...","Outro valor..."
"Physical","Físico"
"Please specify Gift Card amount.","Especifique o valor do Cartão de Presente"
"Please specify all the required information.","Especifique todas as informações necessárias."
"Please specify recipient email.","Especifique o e-mail do destinatário."
"Please specify recipient name.","Especifique o nome do destinatário."
"Please specify sender email.","Especifique o e-mail do remetente."
"Please specify sender name.","Especifique o nome do remetente."
"Quantity","Quantidade"
"Recipient Email","E-mail do destinatário"
"Recipient Name","Nome do destinatário"
"Redeemable","Resgatável"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do remetente"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","Algumas das Contas de Cartão de Presente não foram criadas de maneira apropriada. É possível criar Contas de Cartão de Presente manualmente <a href=""%s"">aqui</a>."
"Unable to create.","Não foi possível criar."
"Up To","Até"
"Use Config Settings","Utilizar opções de configuração"
"Virtual","Virtual"
"Yes","Sim"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VISUALIZAR LOJA]"
