"-- None --","-- Niets --"
"Active","Actief"
"Add Banner","Banner toevoegen"
"An error occurred while deleting banner data. Please review log and try again.","Er is een fout opgetreden toen je de banner weghaalde. Kijk in je logboek en probeer het opnieuw."
"An error occurred while mass deleting banners. Please review log and try again.","Er is een fout opgetreden toen je de banners in grote getalen weghaalde. Kijk in je logboek en probeer het opnieuw."
"Any","elk"
"Any Banner Type","elk banner type"
"Applies To","geldt voor"
"Applies to Any of the Specified Customer Segments","geldt voor ieder van de aangewezen klanten segmenten"
"Are you sure you want to delete these banners?","weet je zeker dat je deze banners wilt verwijderen?"
"Banner Block Template","banner blok mal"
"Banner Default Content for All Store Views","standaard banner voor alle winkelmogelijkheden"
"Banner Information","banner informatie"
"Banner Inline Template","binnenste banner mal"
"Banner Name","banner naam"
"Banner Properties","banner specificaties"
"Banner Rotator","tool om banner te draaien"
"Banner Types","banner types"
"Banners","banners"
"Banners to Display","banners om weer te geven"
"CMS","CMS"
"Catalog Promotions Related","gerelateerd aan de promoties in de catalogus"
"Content","inhoud"
"Content Area","inhoudsgebied"
"Customer Segments","klanten segmenten"
"Default Content","standaard inhoud"
"Delete","weghalen"
"Delete Banner","haal banner weg"
"Displays Specified or Promotion Banners","laat aangewezen of promotie banners zien"
"Do not rotate, display all at once","niet omdraaien, allemaal tegelijk laten zien"
"Edit Banner","banner aanpassen"
"Footer","onderschrift"
"Header","bovenschrift"
"ID","identiteit"
"Left Column","linker kolom"
"Manage Banners","banners beheren"
"Name must not be empty.","naam mag niet leeg zijn"
"New Banner","nieuwe banner"
"No","Nee"
"No Default Content","geen standaard inhoud"
"One at the time, Random","een tegelijk, lukraak"
"One at the time, Series","een tegelijk, in een serie"
"One at the time, Shuffle","een tegelijk, door elkaar"
"Please select banner(s).","selecteer banner aub"
"Please specify default content for at least one store view.","specificeer standaard inhoud voor tenminste 1 winkelmogelijkheid aub"
"Position","positie"
"Related Banners","gerelateerde banners"
"Related Catalog Price Rules","gerelateerde catalogusprijzen regels"
"Related Promotions","gerelateerde promoties"
"Related Shopping Cart Price Rules","gerelateerde winkelwagen prijsregels"
"Restrict by Banner Types","afgesloten door banner types"
"Right Column","rechter kolom"
"Rotation Mode","modus om te roteren"
"Save Banner","banner opslaan"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Shopping Cart Promotions Related","gerelateerd aan winkelwagen promoties"
"Specified","gespecificeerd"
"Specified Banner Types","gespecificeerde banner types"
"Specified Banners","gespecificeerde banners"
"Specify Banners","specificeer banners"
"Specify Types","specificeer types"
"Store View Specific Content","specifiek winkelmogelijkheid inhoud"
"The banner has been deleted.","the banner is weggehaald"
"The banner has been saved.","De banner is opgeslagen"
"This banner no longer exists.","Deze banner bestaat niet meer."
"Total of %d record(s) have been deleted.","Het totaal aan ... records is weggehaald."
"Unable to find a banner to delete.","Niet mogelijk om een banner te vinden om weg te halen"
"Unable to save the banner.","Niet mogelijk om banner op te slaan"
"Use Default","Gebruik standaard"
"Visible In","zichtbaar in"
"Yes","Ja"
