"%s order(s) have been archived.","%s order(s) zijn gearchiveerd."
"%s order(s) have been canceled.","%s order(s) zijn geannuleerd."
"%s order(s) have been put on hold.","%s order(s) zijn in de wachtstand gezet."
"%s order(s) have been released from holding status.","%s order(s) zijn vrijgelaten uit wacht status."
"%s order(s) have been removed from archive.","%s order(s) zijn uit het archief verwijdert."
"Archive","Archief"
"Archive Orders Purchased","Archief Orders Gekocht"
"Column not found","Kolom niet gevonden"
"Creditmemos","Kredietmemos"
"Creditmemos Archive","Archief Kredietmemo's"
"Enable Archiving","Archivering in staat stellen"
"Go to Archive (%s orders)","Ga naar Archief (%s orders)"
"Invoices","Facturen"
"Invoices Archive","Facturen Archief"
"Move to Archive","Verplaats naar Archief"
"Move to Order Managment","Verplaats naar Order Beheer"
"Move to Orders Management","Verplaats naar Order Beheer"
"Order Statuses to be Archive","Order Statussen om te archiveren"
"Orders","Bestellingen"
"Orders Archive","Bestellings Archief"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, facturen, verzendingen, kredietnota's archivering"
"Please specify order id to be archived.","Omschrijf bestellings id om te worden gearchiveerd."
"Please specify order id to be removed from archive.","Omchrijf bestellings id om te verwijderen van archief."
"Positioning column not found","Kolom positionering niet gevonden"
"Restore from Archive","Herstellen vanuit Archief"
"Sales Archive","Verkoop Archief"
"Selected order(s) cannot be archived.","Geselecteerde order(s) kan/kunnen niet worden gearchiveerd."
"Shipments","Zendingen"
"Shipments Archive","Zendingen Archief"
"Table not found","Tabel niet gevonden"
"The order has been archived.","De bestelling is gearchiveerd."
"The order has been removed from the archive.","De bestelling is verwijdert van het archief."
"There are %s orders in archive. All of them will be moved to regular table after archive is disabled.","Er zijn %s orders in het archief. Ieder van hen zal worden verplaatst naar reguliere tabel nadat archief is uitgeschakeld."
