"-- Not Selected --","-- 未选择 --"
"Active","活动"
"Active From","激活自"
"Active To","激活给"
"Add New Rule","添加新规则"
"Are you sure you want to match this rule now?","您是否确认要立刻匹配该规则？"
"Automated Email Marketing Reminder Rules","自动邮件营销提醒规则"
"Automated Email Reminder Rules","自动邮件提醒规则"
"Cart Line Items","购物车内容"
"Conditions","条件"
"Coupon","折扣券"
"Coupon Code","折扣券代码"
"Coupon Usage Limit","折扣券使用限制"
"Coupon Usage per Customer","每客户折扣券使用情况"
"Coupons can be auto-generated by reminder promotion rules.","折扣券可通过提醒促销规则自动生成。"
"Default Titles and Description","默认标题和描述"
"Delete","删除"
"Description","描述"
"Edit Rule","修改规则"
"Edit Rule '%s'","修改规则'%s'"
"Email","电子邮件"
"Email Reminder Rule","邮件提醒规则"
"Email Send Failure Threshold","邮件发送失败阈值"
"Email Templates","邮件模板"
"Emails Failed","邮件出错"
"Emails Sent","邮件已发送"
"Emails and Labels","邮件和标签"
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","只针对特定店铺视图发送了邮件。邮件的店铺视图必须与客户注册时选择的店铺视图相匹配。"
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","空值将禁用该限制。如果不限制，提醒邮件可能会反复发送。"
"Enable Reminder Emails","启用提醒邮件"
"Failed to delete reminder rule.","删除提醒规则时失败。"
"Failed to save reminder rule.","保存提醒规则时失败。"
"Frequency","频率"
"General Information","常规信息"
"ID","ID"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","在规则条件依然满足的情况下，提醒邮件几天重复一次。请输入天数，并用逗号分隔。"
"Inactive","未激活"
"Interval","间隔"
"Items Quantity","项目数量"
"Items Subselection","项目复选"
"Last Sent At","上次发送于"
"Matched At","匹配于"
"Matched Customers","匹配的客户"
"Maximum Emails per One Run","每次运行发送邮件最大数量"
"Minute of the Hour","某一分钟"
"N/A","N/A"
"New Rule","新规则"
"No","否"
"Number of Items","项目的数量"
"Numeric Attribute","数值属性"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","覆盖默认的标题和描述。请注意，如果该商店视图未指定将模板通过电子邮件发送，则各自的变量值将会被删除。"
"Please, specify correct minutes of hour.","请为小时指定正确的分钟数。"
"Product %s","产品 %s"
"Product Attributes","产品属性"
"Promo Section","促销区域"
"Promotion rule this reminder will advertise.","促销规则将打广告。"
"Promotions","促销"
"Reminder Email Sender","提醒电子邮件发送者"
"Reminder Rules","提醒规则"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","提醒电子邮件可能会包含或不包含优惠券来推广购物车价格规则。如果购物车价格规则定义了自动生成的优惠券，则该提醒规则将为每位客户生成随机优惠券代码。"
"Reminder rule matching error.","提醒规则匹配错误。"
"Repeat Schedule","重复时间表"
"Root shopping cart condition should have days value at least 0.","根购物车条件的天数值应不小于零。"
"Root wishlist condition should have days value at least 1.","根愿望列表条件中天数数值至少应为 1。"
"Rule Description for All Store Views","所有商店视图的规则说明"
"Rule Information","规则信息"
"Rule Name","规则名称"
"Rule Reminder","规则提醒"
"Rule Title for All Store Views","所有商店视图的规则标题"
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","可在电子邮件模版中访问的规则标签和描述，可能被按商店视图来定义。"
"Rule will work only if at least one condition is specified.","规则仅在至少指定一个条件下工作。"
"Run Now","现在运行"
"SKU","SKU"
"Save","保存"
"Save and Continue Edit","保存并继续编辑"
"Set this value not less than your cron.php launch period.","该值的设置不要小于您在cron.php中的启动周期。"
"Sharing","共享"
"Shopping Cart","购物车"
"Shopping Cart Price Rule","共享购物车规则"
"Start Time","开始时间"
"Status","状态"
"Store View","店铺视图"
"The reminder rule has been deleted.","其余规则已被删除。"
"The reminder rule has been matched.","其余规则已匹配。"
"The reminder rule has been saved.","其余规则已保存。"
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","该规则已被分配给 %s 个自动提醒规则。删除该规则将自动取消关联。"
"Thread Active","线程活动"
"Titles and Descriptions Per Store View","每个店铺视图的名称和描述"
"Total Amount","总数量"
"Unknown attribute specified","指定了未知属性"
"Unknown operator specified.","指定了未知操作。"
"Unknown quote total specified","指定了未知数额"
"Up to %s customers may receive reminder email after this action.","该操作后最多 %s位客户可以收到提醒邮件。"
"Valid range: 0-59 (default 0).","有效范围：0-59（默认0）."
"Virtual Only","仅实物"
"Website","网站"
"Wishlist","愿望清单"
"Wrong reminder rule requested.","请求的提醒规则有误。"
"Yes","是"
"base cost","基本成本"
"base price","基本价格"
"does not have","没有"
"found","找到"
"grand total","总数"
"has","有"
"is","是"
"is not","非"
"not found","未找到"
"quantity","数量"
"row weight","毛重"
"subtotal","小计"
"weight","重量"
