"* Required Fields","*必要字段"
"-- Please Select --","-- 请选择 --"
"Account Information","帐户信息"
"Add New Address","添加新地址"
"Add New Attribute","添加新属性"
"Additional Address Entries","额外地址行"
"Address","地址"
"Address Book","地址薄"
"Address Information","地址信息"
"All Themes","所有主题"
"An error occurred while deleting the customer address attribute.","删除客户地址属性时遇到了错误。"
"An error occurred while deleting the customer attribute.","删除客户属性时遇到了错误。"
"An error occurred while deleting the form type.","从类中删除时遇到了错误。"
"An error occurred while saving the customer address attribute.","保存客户地址属性时遇到了错误。"
"An error occurred while saving the customer attribute.","保存客户属性时遇到了错误。"
"An error occurred while saving the form type.","从类中保存时遇到了错误。"
"Are you sure you want to delete this address?","您是否确认要删除该地址？"
"Attribute Information","属性信息"
"Attribute is no longer exists.","属性不存在。"
"Attribute with the same code already exists","使用相同代码的属性已存在"
"Attributes","属性"
"Back","返回"
"Back to Login","返回到登录界面"
"Based On","基于"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","通过在我们的店铺中创建帐户，您将能用更快速度结账，保存多个送货地址，并可在您的帐户中查看并追踪您的订单，还有更多功能。"
"Cancel","取消"
"Change Billing Address","更改账单地址"
"Change Password","更改密码"
"Change Shipping Address","更改送货地址"
"City","城市"
"Comma separated","逗号分隔"
"Company","公司"
"Confirm New Password","确认新密码"
"Confirm Password","确认密码"
"Contact Information","联系信息"
"Country","国家"
"Create an Account","创建帐户"
"Current Password","当前密码"
"Customer","客户"
"Customer Account Edit Form","客户帐户编辑表单"
"Customer Account Login Form","客户帐户登录表单"
"Customer Account Logout Success","客户帐户注销成功"
"Customer Account Registration Form","客户账户注册自"
"Customer Forgot Password Form","客户忘记密码表单"
"Customer My Account (All Pages)","客户我的帐户（所有页面）"
"Customer My Account Address Book","客户我的帐户地址簿"
"Customer My Account Address Edit Form","客户我的帐户地址编辑表单"
"Customer My Account Dashboard","客户我的帐户仪表板"
"DD","DD"
"Date of Birth","出生日期"
"Day","天"
"Default Addresses","默认地址"
"Default Billing Address","默认账单地址"
"Default Shipping Address","默认送货地址"
"Default Values","默认值"
"Delete Address","删除地址"
"Delete Attribute","删除属性"
"Edit","编辑"
"Edit Account Information","修改帐户信息"
"Edit Address","编辑地址"
"Edit Address Entry","编辑地址项"
"Edit Customer Address Attribute","编辑客户地址属性"
"Edit Customer Address Attribute ""%s""","编辑客户地址属性 ""%s"""
"Edit Customer Attribute","编辑客户属性"
"Edit Customer Attribute ""%s""","编辑客户属性 ""%s"""
"Edit Form Type ""%s""","编辑表单类型 ""%s"""
"Edit Newsletters","编辑新闻邮件"
"Email Address","编辑电子邮件地址"
"Fax","传真"
"File Extensions","文件扩展"
"For Theme","针对他们"
"Forgot Your Password?","忘记您的密码？"
"Form Code","表单代码"
"Form Fields Before","表单字段，先于"
"Form Label","表单标签"
"Form Title","表单标题"
"Form Type Code","表单类型代码"
"Form Type Information","表单类型信息"
