"* Required Fields","*必要字段"
"Address","地址"
"Address Information","地址信息"
"Already registered?","已注册？"
"Back","返回"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","通过在我们的店铺中创建帐户，您将能用更快速度结账，保存多个送货地址，并可在您的帐户中查看并追踪您的订单，还有更多功能。"
"Checkout as Guest","作为来宾结账"
"Checkout as a Guest","以来宾身份结账"
"Checkout as a Guest or Register","以来宾身份结账或注册"
"City","城市"
"Company","公司"
"Confirm Password","确认密码"
"Continue","继续"
"Country","国家"
"Create an Account","创建帐户"
"Easy access to your order history and status","轻松访问您的订单历史记录和状态"
"Email Address","编辑电子邮件地址"
"Fast and easy check out","方便快捷的结账"
"Fax","传真"
"Forgot Your Password?","忘记您的密码？"
"Forgot your password?","忘记您的密码？"
"If you have an account with us, log in using your email address.","如果您在我们这里有帐户，那么请使用您的电子邮件地址登录。"
"Loading next step...","正在载入下一步..."
"Login","登录"
"Login Information","登录信息"
"Login or Create an Account","登录或创建帐户"
"New Customers","新客户"
"Password","密码"
"Persist Comparison History","保留比较历史"
"Persist Currently Compared Products","保留当前比较的产品"
"Persist Customer Group Membership and Segmentation","保留客户组成员关系与片段"
"Persist Recently Ordered Items","保留最近订购的产品"
"Persist Recently Viewed Products","保留最近查看的产品"
"Persist Wishlist","保留愿望清单"
"Personal Information","个人信息"
"Please log in below:","请在下面登录："
"Please select region, state or province","请选择地区、州，或省"
"Register","注册"
"Register and save time!","注册并节约时间！"
"Register to Create an Account","注册以创建帐户"
"Register with us for future convenience:","在这里注册以后可以更方便："
"Registered Customers","已注册的客户"
"Save in address book","保存到地址簿"
"Select State/Province...","选择州/省..."
"Select a billing address from your address book or enter a new address.","从您的地址簿选择账单地址，或输入新地址。"
"Ship to different address","送货到不同地址"
"Ship to this address","送货到这个地址"
"Sign Up for Newsletter","订阅新闻邮件"
"State/Province","州/省"
"Street Address","街道地址"
"Submit","提交"
"Telephone","电话"
"Zip/Postal Code","邮政编码"
