"Action","操作"
"Additional information","额外信息"
"An amount on which to change the balance","要更改的余额数量"
"Balance","余额"
"Balance Change","余额变动"
"Balance History","余额历史"
"Balance history cannot be saved without existing balance.","余额历史不能在没有现有余额的情况下保存。"
"By admin: %1$s. (%2$s)","由管理员： %1$s. (%2$s)"
"By admin: %s.","由管理员： %s"
"Comment","评论"
"Created","已创建"
"Customer ID must be specified.","必须指定客户ID。"
"Customer My Account Store Credit","客户我的帐户店铺信用"
"Customer is not set or does not exist.","客户未设置或不存在。"
"Customer notified?","客户通知？"
"Date","日期"
"Delete Orphan Balances","删除孤立的余额"
"Enable Store Credit Functionality","启用店铺信用功能"
"Failed to initialize customer","客户初始化失败"
"In order to send email notification, the Store ID must be set.","为了发送电子邮件通知，必须设置店铺ID。"
"No","否"
"Not enough Store Credit Amount to complete this Order.","没有完成本订单所需的足够的店铺信用。"
"Notified","已通知。"
"Notify Customer by Email","通过电子邮件通知客户"
"Order #%s","订单# %s"
"Please set store ID as well.","请同时设置店铺ID"
"Refund Money to Store Credit","退款到店铺信用"
"Refund Store Credit Automatically","自动退还店铺信用"
"Refund Store Credit to Store Credit","将店铺信用存储为店铺信用"
"Refund to Store Credit","存储为店铺信用"
"Refunded","已存储"
"Refunded to Store Credit","存储为店铺信用"
"Remove","删除"
"Reverted","还原"
"Send Email Notification From the Following Store View","从下列店铺视图发送电子邮件通知"
"Send Email from the Following Store View","从下列店铺视图发送电子邮件"
"Show Store Credit History to Customers","向客户显示店铺信用历史"
"Store Credit","店铺信用"
"Store Credit (%s)","店铺信用 （%s）"
"Store Credit Balance","存储店铺余额"
"Store Credit Balance and History Wrapper","店铺信用余额及历史信息"
"Store Credit Options","店铺信用选项"
"Store Credit Update","店铺信用更新"
"Store Credit Update Email Sender","店铺信用更新邮件发送者"
"Store Credit Update Email Template","店铺信用更新邮件模板"
"Store Credit payment is not being used in your shopping cart.","您的购物车尚未使用店铺信用支付。"
"Store credit amount cannot exceed order amount.","店铺信用数量无法超出订单数量"
"The store credit payment has been removed from shopping cart.","该店铺信用支付已从购物车中删除。"
"There is no creditmemo set to balance model.","信用备忘尚未设置为余额模式。"
"There is no order set to balance model.","没有用于设置余额模式的订单集。"
"Unknown balance history action code","未知的余额历史操作代码"
"Update Balance","更新余额"
"Updated","已更新"
"Use Store Credit","使用店铺信用"
"Use Store Credit (%s available)","使用商店信用点数（%s 可用）"
"Used","已使用"
"Website","网站"
"Website ID must be set.","必须设置网站ID"
"Your current balance is:","您的当前余额为："
"available","可用"
