"%s; rev #%s","%s; 修订 #%s"
"Access Level","访问级别"
"Add Node...","添加节点..."
"Add Selected Page(s) to Tree","添加所选页面到树"
"Add To Tree","添加到树"
"An error occurred while deleting revisions.","删除修订时遇到了错误。"
"An error occurred while deleting the revision.","删除修订时遇到了错误。"
"An error occurred while deleting the version.","删除版本时遇到了错误。"
"An error occurred while deleting versions.","删除版本时遇到了错误。"
"Anchor Custom Text","自定义文本锚点"
"Anchor Custom Title","自定义标题锚点"
"Are you sure you want to break current lock?","您是否确认要解除当前锁定？"
"Are you sure you want to delete this revision?","您是否确认要删除该修订？"
"Are you sure?","您是否确认？"
"Author","作者"
"Author:","作者："
"CMS","CMS"
"CMS Content Wrapper","CMS 内容包装器"
"CMS Hierarchy","CMS层次结构"
"CMS Hierarchy Node Link","CMS层次结构节点链接"
"CMS Home Page","CMS首页"
"CMS No-Route Page","CMS非路由页"
"CMS Page Default Versioning","CMS页面默认版本控制"
"CMS Page Hierarchy","CMS页面层次结构"
"CMS Page Link Block Template","CMS页面链接块模板"
"CMS Page Link Inline Template","CMS页面链接内联摸板"
"CMS Page Trees","CMS页面树"
"CMS Pages","CMS页面"
"CMS Pages (All)","CMS页面（全部）"
"CMS Versioning","CMS版本控制"
"Cancel","取消"
"Cannot change version access level because it is the last public version for its page.","无法更改版本访问级别，因为这是此页面的最新公开版。"
"Cannot change version access level because its revision is published.","无法更改版本访问级别，因为该修订已发布。"
"Chapter/Section","章节/片段"
"Choose Revision","选择修订"
"Choose Store View","选择店铺视图"
"Circle","圈子"
"Content","内容"
"Could not load specified revision.","无法加载指定修订。"
"Could not load specified version.","无法加载指定版本。"
"Created","已创建"
"Created At","创建于"
"Created:","创建："
"Current Modification","当前修改"
"Currently Published Revision","当前发布的修订"
"Default","默认"
"Default Layout for Hierarchy Menu","层次结构菜单的默认布局"
"Delete","删除"
"Delete Revision and Version","删除修订和版本"
"Disabled by Default","默认被禁用"
"Disc","磁盘"
"Edit Page '%s' New Revision","编辑页面  '%s' 新修订"
"Edit Page '%s' Revision #%s","编辑页面  '%s' 修订 #%s"
"Edit Page '%s' Version '%s'","编辑页面  '%s' 版本  '%s'"
"Edit Revision","编辑修订"
"Edit Version","编辑版本"
"Enable Chapter/Section","启用章节/片段"
"Enable Hierarchy Functionality","启用层次结构功能"
"Enable Hierarchy Metadata","启用层次结构元数据"
"Enable Navigation Menu","启用导航菜单"
"Enable Pagination","启用页码"
"Enabled by Default","默认启用"
"Error in saving hierarchy.","保存层次结构时出错。"
"Exclude from Navigation Menu","从导航菜单中排除"
"First","首先"
"Frame","框架"
"Frame Skip","框架皮肤"
"Hierarchy","层次结构"
"Hierarchy Page Lock Timeout (seconds)","层次结构页面锁定超时（秒）"
"How many Links to display at once","一次显示多少链接"
"If empty, will use the Node or Page Name","如果为空，将使用节点或页面名"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","如果当前框架位置没有覆盖最上层页面，则会将链接渲染到当前位置 加/减 该值"
"Invalid node data.","无效节点数据。"
"Label for version is a required field.","必须提供版本标签"
"Left Column","左栏"
"Link to Specified CMS Hierarchy Node","到指定CMS层次结构节点的链接"
"List Style","列表样式"
"List Type","列表类型"
"Lower Alpha (a, b, c, ...)","字母表升序（a、b、c...）"
"Lower Roman (i, ii, iii, ...)","罗马数字升序（i、ii、iii...）"
"Manage Content","管理内容"
"Manage Hierarchy","管理层次结构"
"Manage Pages Hierarchy","管理页面层次结构"
"Maximal Depth","最大深度"
"Menu Detalization","菜单细节"
"Menu Layout","菜单布局"
"N/A","N/A"
"Navigation Menu Options","导航菜单选项"
"Neighbours and Children","邻居和儿童"
