"200 OK","200 OK"
"503 Service Unavailable","503 dienst onbeschikbaar"
"Access Restriction","Toegangsrestrictie"
"Applicable only if restriction mode is ""Website Closed"". Landing page is rendered as raw HTML.","Alleen van toepassing als de restrictiemodus gelijk is aan ""Website gesloten"". Landing pagina wordt weergegeven als onopgemaakte HTML."
"Applicable only in ""Private Sales"" mode.","Alleen van toepassing in ""Privé verkoop"" modus."
"CMS Content Wrapper","CMS Inhoud Aanpasser"
"HTTP Response","HTTP antwoord"
"Landing Page","Landingspagina"
"Main Content Area","Voornaamst inhoudgebied"
"Private Sales: Login Only","Privé verkoop: allleen inloggen"
"Private Sales: Login and Register","Privé verkoop: login en registreer"
"Restriction Mode","Restrictie modus"
"Startup Page","Startpagina"
"To landing page (302 Found)","Naar landingspagina (302 gevonden)"
"To login form (302 Found)","Naar login-formulier (302 gevonden)"
"Website Closed","Website gesloten"
"Website Closed Private Sales Landing Page","Website gesloten privé verkopen landingspagina"
"Website Closed Stub Page","Website gesloten beginnetje pagina"
