"200 OK","200 OK"
"503 Service Unavailable","503 服务不可用"
"Access Restriction","访问被限制"
"Applicable only if restriction mode is ""Website Closed"". Landing page is rendered as raw HTML.","只有限制模式为“网站已关闭”时可以使用。Landing页面会被作为原始HTML内容渲染。"
"Applicable only in ""Private Sales"" mode.","只有在“隐私销售”模式下可用。"
"CMS Content Wrapper","CMS 内容包装器"
"HTTP Response","HTTP响应"
"Landing Page","加载页"
"Main Content Area","主内容区域"
"Private Sales: Login Only","私密销售：要求登录"
"Private Sales: Login and Register","私密销售：登录并注册"
"Restriction Mode","限制模式"
"Startup Page","启动页面"
"To landing page (302 Found)","到加载页面（302找到）"
"To login form (302 Found)","到登录表单（302找到）"
"Website Closed","网站已关闭"
"Website Closed Private Sales Landing Page","网站已关闭私密销售加载页面"
"Website Closed Stub Page","网站已关闭集结页面"
