"-- First Please Select a Website --","-- Veuillez tout d'abord sélectionner un site internet --"
"Action","Action"
"Active","Actif"
"Add Gift Card","+ bon cadeau"
"Add Gift Card Account","Ajouter un compte de carde cadeau"
"Additional information","Infos additionnelles"
"Alphabetical","Alphabétique"
"Alphanumeric","Alpha numérique"
"Are you sure you want to delete these gift card accounts?","Êtes-vous sûr(e) de vouloir effacer ces comptes de carte cadeau?"
"Available","Disponible"
"Balance","Solde"
"Balance Change","Changement du solde"
"Balance cannot be less than zero.","La balance ne peut etre inférieure à zéro."
"By admin: %s.","Par l'amin: %s."
"Cannot apply Gift Card","Ne peut appliquer la Carte Cadeau"
"Cannot apply gift card.","Ne peut appliquer la Carte Cadeau"
"Cannot redeem Gift Card.","Ne peut racheter la Carte Cadeau."
"Cannot remove Gift Card","Ne peut enlever la Carte Cadeau"
"Cannot remove gift card.","Ne peut enlever la carte cadeau."
"Check","Vérifier"
"Check Gift Card status and balance","Vérifier l'état de la carte cadeau et le solde"
"Check status and balance","Vérifier l'état et le solde"
"Code","Code"
"Code Format","Format du code"
"Code Length","Longueur du code"
"Code Prefix","Préfixe du code"
"Code Suffix","Suffixe du code"
"Created","Créé"
"Current Balance: %s","Solde actuel: %s"
"Customer #%s.","Client #%s."
"Customer My Account Gift Card Check Form","Formulaire de vérification de Mon compte carte cadeau du client"
"Customers","Clients"
"Dash Every X Characters","Enlève tous les caractères X"
"Date","Date"
"Date Created","Date créé"
"Delete","Effacer"
"Do you really want to proceed? All unsaved changes will be lost.","Voulez-vous vraiment le faire? Tous les changements non sauvegardés seront perdus."
"Edit Gift Card Account","Changer le compte carte cadeau"
"Edit Gift Card Account: %s","Changer le compte carte cadeau: %s"
"Email Sent from Gift Card Account Management","Courriel envoyé depuis le Gestionnaire de compte carte cadeau"
"Email Template","Modèle de courriel"
"Email was not sent because the gift card account is not active.","Le courriel n'a pas été envoyé parce que le compte de carte cadeau n'est pas actif."
"Enter Gift Card code","Entrer code de carte cadeau"
"Enter gift card code","Entrez le code de la carte de réduction"
"Enter the gift card code","Entrer le code de carte cadeau"
"Excluding prefix, suffix and separators.","En excluant les préfixes, suffixes et séparateurs."
"Expiration Date","Date d'expiration"
"Expiration date cannot be in the past.","La date d'expiration ne peut pas etre dans la passé."
"Expired","Expirée"
"Expires: %s","Expire: %s"
"Generate","Générer"
"Gift Card","Carte Cadeau"
"Gift Card ""%s"" was added.","La carte de réduction ""%s"" a été ajoutée."
"Gift Card ""%s"" was redeemed.","La carte cadeau ""%#"" a été annulée."
"Gift Card ""%s"" was removed.","La carte cadeau ""%s"" a été supprimée."
"Gift Card (%s)","Carte Cadeau  (%s)"
"Gift Card Account","Compte Carte Cadeau"
"Gift Card Account General Settings","Paramètres généraux du compte Carte Cadeau"
"Gift Card Account Sent From Edit Page","Compte Carte Cadeau envoyé depuis la page de changes"
"Gift Card Account has been deleted.","Le compte Carte Cadeau a été effacé."
"Gift Card Accounts","Comptes Carte Cadeau"
"Gift Card Balance Check Form","Formulaire de vérification du solde de Carte Cadeau"
"Gift Card Code","Code Carte Cadeau"
"Gift Card Email Sender","Expéditeur courriel Carte Cadeau"
"Gift Card Template","Modèle Carte Cadeau"
"Gift Card amount applied to order: %s","Montant Carte Cadeau appliqué à la commande: %s"
"Gift Card status","État de la Carte Cadeau"
"Gift Card: %s","Carte Cadeau: %s"
"Gift Cards","Cartes Cadeau"
"Gift card account %s balance does not have funds.","La balance du compte de la carte cadeau %s n'a pas de fonds."
"Gift card account %s balance is less than amount to be charged.","La balance de la carte cadeau %s est inférieure au montant qui doit etre facturé."
"Gift card account %s is expired.","La carte cadeau %s est expirée."
"Gift card account %s is not enabled.","Le compte de la carte cadeau %s n'est pas activé."
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","Vous avez une carte cadeau ? <a href=""%s"">Cliquez ici</a> pour l'utiliser."
"History","Historique"
"ID","Identification"
"Information","Infos"
"Invalid customer ID supplied.","Numéro d'identification fourni est invalide."
"Low Code Pool Threshold","Seuil de code alloué bas"
"Manage Gift Card Accounts","Gérer les comptes de Carte Cadeau"
"Maximum generated code length is 255. Please correct your settings.","La longueur maximum du code généré est de 255 caractères. Veuillez corriger vos paramètres."
"New Account","Nouveau compte."
"New Gift Card Account","Nouveau compte Carte cadeau."
"New Pool Size","Nouvelle allocation de taille."
"New code pool was generated.","Une nouvelle allocation de taille de code a été générée."
"No","Non"
"No codes left in the pool.","Plus de codes dans l'ensemble."
"Numeric","Numérique"
"Order #%s.","Ordre #%s."
"Please assign gift card account.","Veuillez assigner un compte carte cadeau."
"Please select gift card account(s)","Veuillez sélectionner un(des) compte(s) carte cadeau"
"Please wait, loading...","Veuillez patienter, en cours de chargement..."
"Recipient Email","Destinataire courriel"
"Recipient Name","Nom du destinataire"
"Recipient: %s.","Destinataire: %s."
"Recipient: %s. By admin: %s.","Destinataire: %s. Par l'admin: %s."
"Redeem Gift Card","Échanger la carte cadeau"
"Redeemable","Échangeable"
"Redeemed","Échangée"
"Redemption functionality is disabled.","La fonction d'échange est désactivée."
"Refund Gift Cards to Store Credit","Rembourser les cartes cadeaux à l'Avoir de la boutique"
"Refunded to Store Credit","Remboursé à l'Avoir de la boutique"
"Remove","Enlever"
"Save","Sauvegarder"
"Save & Send Email","Sauvegarder et envoyer courriel"
"Send Gift Card","Envoyer carte cadeau"
"Sent","Envoyée"
"Status","État"
"Store Credit","Avoir de la boutique"
"The gift card account has been saved and sent.","Le compte carte cadeau a été sauvegardé et envoyé."
"The gift card account has been saved, but email was not sent.","Le compte carte cadeau a été sauvegardé, mais le courriel n'a pas été envoyé."
"The gift card account has been saved.","Le compte carte cadeau a été sauvegardé."
"This Gift Card Account no longer exists.","Ce compte carte cadeau n'existe plus."
"This gift card account is already in the quote.","Le compte de la carte cadeau est déjà inclus dans le devis."
"This gift card account wasn\'t found in the quote.","Le compte de la carte cadeau n'a pas été trouvé dans le devis."
"To add or remove gift cards, <a href=""%s"">click here</a>.","Pour ajouter ou retirer des cartes cadeaux, <a href=""%s"">cliquez ici</a>."
"Total of %d record(s) have been deleted.","Un total de %d enregistrement(s) a(ont) été effacé(s)."
"Unable to create full code pool size. Please check settings and try again.","Ne peut créer un code correspondant à l'allocation. Veuillez vérifier les paramètres et essayer à nouveau."
"Unable to find a Gift Card Account to delete.","Ne peut trouver un compte carte cadeau à effacer."
"Unable to generate new code pool.","Ne peut générer un nouveau code d'allocation."
"Unknown history action.","Action d'historique inconnue."
"Updated","Mis à jour"
"Used","Utilisée"
"WARNING: Save your configuration before running generation process.","ATTENTION: Sauvegardez votre configuration avant de lancer le processus de génération."
"Website","Site internet"
"Wrong gift card account ID. Requested code: ""%s""","ID du compte de carte cadeau erroné. Code requis : ""%s"""
"Wrong gift card account code: ""%s"".","Code de carte cadeau erroné : ""%s"""
"Wrong gift card account website: %s.","Site web de compte de carte cadeau erroné : %s."
"Wrong gift card code.","Code de carte cadeau erroné."
"Wrong or expired Gift Card Code.","Code de carte cadeau mauvais ou expiré."
"Yes","Oui"
"if empty no separation.","si vide pas de séparation."
