"Admin Accounts Locks","Admin Kontosperrungen"
"Auto-generate a Key","Automatische Schlüsselgenerierung"
"Change Encryption Key","Verschlüsselungscode ändern"
"Encryption Key Change","Änderung des Verschlüsselungscodes"
"Encryption key format is invalid.","Verschlüsselungscode-Format ist ungültig."
"Encryption key has been changed.","Verschlüsselungscode wurde geändert."
"Failures","Fehler"
"File %s is not writeable.","Datei %s ist nicht schreibbar."
"Forced","Dechiffriert"
"ID","Benutzerkennung"
"If empty, this feature will be disabled.","Wenn leer, wird diese Funktion deaktiviert."
"Last login","Letzter Login"
"Locked Admins","Gesperrte Admins"
"Locked Users","Gesperrte Benutzer"
"Locked administrators","Gesperrte Administratoren"
"Locked until","Gesperrt bis"
"Lockout Time (minutes)","Sperrungszeit (Minuten)"
"Manage Encription Key","Verschlüsselungscode verwalten"
"Manage Encryption Key","Verschlüsselungscode verwalten"
"Maximum Login Failures to Lockout Account","Maximale Anzahl von Login-Fehlern um Konto zu sperren"
"New Encryption Key","Neuer Verschlüsselungscode"
"New Key","Neuer Schlüssel"
"Password Change","Kennwort-Änderung"
"Password Lifetime (days)","Kennwort-Lebensdauer (Tage)"
"Permissions","Benutzerrechte"
"Please enter an encryption key.","Bitte einen Verschlüsselungscode eingeben."
"Recommended","Empfohlen"
"System","System"
"The encryption key is used to encrypt passwords and other sensitive data.","Der Verschlüsselungscode wird zur Verschlüsselung von Kennwörtern und anderen schützenswerten Daten benutzt."
"The generated key will be displayed after changing.","Der generierte Schlüssel wird nach seiner Änderung angezeigt."
"This account is locked.","Das Konto ist gesperrt."
"This password was used earlier, try another one.","Dieses Kennwort wurde schon benutzt, verwenden Sie ein anderes."
"To make key change possible, make sure the following file is writeable: %s","Um eine Schlüsseländerung zu ermöglichen stellen Sie bitte sicher, dass die folgende Datei schreibbar ist: %s"
"Unlock","Entsperren"
"Unlocked %d user(s).","%d Benutzer entsperrt."
"Username","Benutzername"
"Your new encryption key: <span style=""font-family:monospace;"">%s</span>. Please make a note of it and make sure you keep it in a safe place.","Ihr neuer Verschlüsselungcode: <span style=""font-family:monospace;"">%s</span>. Bitte notieren Sie ihn und bewahren ihn an einem sicheren Ort auuf."
"Your password has expired, please <a href=""%s"">change it</a>.","Ihr Passwort ist abgelaufen, bitte <a href=""%s"">ändern Sie es</a>."
"Your password has expired, please contact administrator.","Ihr Kennwort ist abgelaufen, bitte wenden Sie sich an den Administrator."
"Your password has expired, you must change it now.","Ihr Kennwort ist abgelaufen, Sie müssen es jetzt ändern."
