"-- First Please Select a Website --","Wählen Sie zuerst bitte eine Webseite aus"
"Action","Aktion"
"Active","Aktiv"
"Add Gift Card","Gutschein einlösen"
"Add Gift Card Account","Geschenkgutschein-Konto hinzufügen"
"Additional information","Zusätzliche Informationen"
"Alphabetical","Alphabetisch"
"Alphanumeric","Alphanumerisch"
"Are you sure you want to delete these gift card accounts?","Sind Sie sicher, dass Sie diese Geschenkgutschein-Konten löschen möchten?"
"Available","Verfügbar"
"Balance","Guthaben"
"Balance Change","Guthaben-Veränderung"
"Balance cannot be less than zero.","Saldo kann nicht kleiner Null sein."
"By admin: %s.","Durch den Admin: %s."
"Cannot apply Gift Card","Geschenkgutschein kann nicht angewendet werden"
"Cannot apply gift card.","Geschenkgutschein kann nicht angewendet werden"
"Cannot redeem Gift Card.","Geschenkgutschein kann nicht eingelöst werden"
"Cannot remove Gift Card","Geschenkgutschein kann nicht entfernt werden"
"Cannot remove gift card.","Geschenkgutschein kann nicht entfernt werden."
"Check","Überprüfen"
"Check Gift Card status and balance","Status und Guthaben des Geschenkgutscheins überprüfen"
"Check status and balance","Status und Guthaben überprüfen"
"Code","Code"
"Code Format","Code-Format"
"Code Length","Code-Länge"
"Code Prefix","Code-Präfix"
"Code Suffix","Code-Suffix"
"Created","Erstellt"
"Current Balance: %s","Aktuelles Guthaben: %s"
"Customer #%s.","Kunde #%s."
"Customer My Account Gift Card Check Form","Kunde Mein Konto Geschenkgutschein Überprüfen Formular"
"Customers","Kunden"
"Dash Every X Characters","Bindestrich alle X Schriftzeichen"
"Date","Datum"
"Date Created","Erstellungsdatum"
"Delete","Löschen"
"Do you really want to proceed? All unsaved changes will be lost.","Möchten Sie wirklich fortfahren? Alle nicht gespeicherten Änderungen gehen verloren."
"Edit Gift Card Account","Geschenkgutschein-Konto bearbeiten"
"Edit Gift Card Account: %s","Geschenkgutschein-Konto bearbeiten: %s"
"Email Sent from Gift Card Account Management","E-Mail aus der Geschenkgutschein-Konten-Verwaltung gesendet"
"Email Template","E-Mail-Vorlage"
"Email was not sent because the gift card account is not active.","Die E-Mail wurde nicht gesendet, da das Geschenkgutschein-Konto nicht aktiv ist."
"Enter Gift Card code","Geschenkgutschein-Code eingeben"
"Enter gift card code","Gutscheincode eingeben"
"Enter the gift card code","Geschenkgutschein-Code eingeben"
"Excluding prefix, suffix and separators.","Präfix, Suffix und Separatoren werden nicht berücksichtigt."
"Expiration Date","Verfallsdatum"
"Expiration date cannot be in the past.","Das Ablaufdatum darf nicht in der Vergangenheit liegen."
"Expired","Verfallen"
"Expires: %s","Verfällt: %s"
"Generate","Erzeugen"
"Gift Card","Geschenkgutschein"
"Gift Card ""%s"" was added.","Geschenkgutschein ""%s"" wurde hinzugefügt."
"Gift Card ""%s"" was redeemed.","Geschenkgutschein ""%s"" wurde eingelöst."
"Gift Card ""%s"" was removed.","Geschenkgutschein ""%s"" wurde entfernt."
"Gift Card (%s)","Geschenkgutschein (%s)"
"Gift Card Account","Geschenkgutschein-Konto"
"Gift Card Account General Settings","Allgemeine Einstellungen Geschenkgutschein-Konto"
"Gift Card Account Sent From Edit Page","Geschenkgutschein-Konto von Bearbeitungsseite gesendet"
"Gift Card Account has been deleted.","Geschenkgutschein-Konto wurde gelöscht."
"Gift Card Accounts","Geschenkgutschein-Konten"
