"Add Amount","Ajouter montant"
"All Websites","Tous les sites internet"
"Allow Gift Message","Permettre un message avec le cadeau"
"Allow Message","Permettre message"
"Amount","Montant"
"Amount in %s","Montant en %s"
"An error has occurred while preparing Gift Card.","Une erreur est survenue lors de la création de la carte-cadeau."
"Card Type","Type de carte"
"Catalog Product View (Gift Card)","Vue du catalogue produit (Carte Cadeau)"
"Choose an Amount...","Choisir un montant..."
"Combined","Combiné"
"Delete","Effacer"
"Delete Amount","Effacer le montant"
"Email Template","Modèle de courriel"
"Entered amount is too high","Montant entrée est trop élevé"
"Entered amount is too low","Montant entré est trop bas"
"From","De"
"Generate Gift Card Account when Order Item is","Générer un compte Carte Cadeau quand Commander article est"
"Gift Card","Carte Cadeau"
"Gift Card Accounts","Comptes Carte Cadeau"
"Gift Card Accounts Generated From Gift Card","Comptes Carte Cadeau générés depuis la Carte Cadeau"
"Gift Card Email Settings","Paramètres de courriel de la Carte Cadeau"
"Gift Card General Settings","Paramètres généraux de la Carte Cadeau"
"Gift Card Information","Infos Carte Cadeau"
"Gift Card Is Redeemable","Carte Cadeau est échangeable"
"Gift Card Lifetime","Durée de vie de la Carte Cadeau"
"Gift Card Message","Message Carte Cadeau"
"Gift Card Notification Email Sender","Expéditeur courriel de notification Carte Cadeau"
"Gift Card Notification Email Template","Modèle de courriel de notification Carte Cadeau"
"Gift Card Recipient","Destinataire Carte Cadeau"
"Gift Card Sender","Expéditeur Carte Cadeau"
"Gift Card Type","Type de Carte Cadeau"
"Gift Card max amount is %s","Le montant maximum de la Carte Cadeau est %s"
"Gift Card min amount is %s","Le montant minimum de la Carte Cadeau est %s"
"Gift Message Maximum Length","Longueur maximum du message avec le cadeau"
"If empty no expiration.","Si vide, pas d'expiration."
"Invoiced","Facturé"
"Is Redeemable","Est échangeable"
"Lifetime (days)","Durée de vie (jours)"
"Maximum length of the message is %d characters.","La longueur maximum du message est de %d caractères."
"Maximum: %s","Maximum: %s"
"Message","Message"
"Minimum: %s","Minimum: %s"
"N/A","N/D"
"No","Non"
"Ordered","Commandé"
"Other Amount...","Autre montant..."
"Physical","Physique"
"Please specify Gift Card amount.","Veuillez spécifier le montant de la Carte Cadeau"
"Please specify all the required information.","Veuillez spécifier toutes les infos requises."
"Please specify recipient email.","Veuillez spécifier le courriel du destinataire."
"Please specify recipient name.","Veuillez spécifier le nom du destinataire."
"Please specify sender email.","Veuillez spécifier le courriel de l'expéditeur."
"Please specify sender name.","Veuillez spécifier le nom de l'expéditeur."
"Quantity","Quantité"
"Recipient Email","Courriel du destinataire"
"Recipient Name","Nom du destinataire"
"Redeemable","Échangeable"
"Sender Email","Courriel de l'expéditeur"
"Sender Name","Nom de l'expéditeur"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","Certains comptes de cartes-cadeaux n'ont pas été créés correctement. Vous pouvez créer des comptes de cartes-cadeaux manuellement <a href=""%s"">ici</a>."
"Unable to create.","Ne peut créer."
"Up To","Jusqu'"
"Use Config Settings","Utiliser les paramètres de configuration"
"Virtual","Virtuel"
"Yes","Oui"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VUE BOUTIQUE]"
