"Authorization transaction is required to void.","Autorização da transação é necessária para anular."
"Data Transfer Key","Chave de Transferência de Dados"
"Debug","Debug"
"Enabled","Ativado"
"Gateway Basic URL","URL de Porta de Entrada Básica"
"Gives effect only when payment bridge is active.","Dá efeito somente quando a ponte de pagamento está ativa."
"IPN postback HTTP error: %s","Erro IPN HTTP de postagem: %s"
"IPN postback Validation error: %s","Erro IPN de Validação de postagem: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossível emitir uma operação de reembolso, porque a transação de captura não existe."
"Merchant Code","Código do Comerciante"
"Merchant Key","Chave do Comerciante"
"Payment Bridge","Ponte de Pagamento"
"Payment Bridge Selected","Ponte de Pagamento Selecionada"
"Payment Bridge authentication data is not present","Dados de autenticação de Ponte de Pagamento não estão presentes"
"Payment Bridge service error.","Erro de serviço de Ponte de Pagamento"
"Payment Bridge service error: %s","Erro de serviço de Ponte de Pagamento: %s"
"Payment Method Code is not passed.","Código de Método de Pagamento não transmitido."
"Unable to communicate with Payment Bridge service.","Incapaz de se comunicar com o serviço de Ponte de Pagamento."
"Use via Payment Bridge","Use via Ponte de Pagamento"
