"-- Not Selected --","-- Niet geselecteerd --"
"Active","Actief"
"Active From","Actief vanaf"
"Active To","Actief naar"
"Add New Rule","Voeg nieuwe regel toe"
"Are you sure you want to match this rule now?","Weet u zeker dat u deze regel nu wilt overeenkomen?"
"Automated Email Marketing Reminder Rules","Geautomatiseerde e-mail marketing herinner-regels"
"Automated Email Reminder Rules","Geautomatiseerde e-mail herinner-regels"
"Cart Line Items","Winkelwagen lijn items"
"Conditions","Voorwaarden"
"Coupon","Tegoedbon"
"Coupon Code","Tegoedbon code"
"Coupon Usage Limit","Tegoedbon gebruikslimiet"
"Coupon Usage per Customer","Tegoedbongebruik per klant"
"Coupons can be auto-generated by reminder promotion rules.","Tegoedbonnen kunnen automatisch gegenereerd worden door herinnerings-promotie regels"
"Default Titles and Description","Standaard titels en omschrijving"
"Delete","weghalen"
"Description","Omschrijving"
"Edit Rule","Bewerk regel"
"Edit Rule '%s'","Bewerk regel '%s'"
"Email","E-mail"
"Email Reminder Rule","Bewerk herinnerings-regel"
"Email Send Failure Threshold","E-mail verzend fout drempel"
"Email Templates","E-mail templates"
"Emails Failed","E-mails niet gelukt"
"Emails Sent","E-mails verzonden"
"Emails and Labels","E-mails en labels"
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","E-mails zullen alleen verstuurd worden naar gespecificeerde winkelweergaven. E-mail winkelweergave komt overeen met de winkelweergave waarop de klant zich heeft geregistreerd."
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","Lege waarde schakelt deze limitatie uit. Indien niet gelimiteerd, zal de herinnerings-email zichzelf keer op keer verzenden."
"Enable Reminder Emails","Schakel herinnerings-emails in"
"Failed to delete reminder rule.","Mislukt om herinneringsregel te verwijderen"
"Failed to save reminder rule.","Mislukt om herinneringsregel op te slaan."
"Frequency","Frequentie"
"General Information","Generale informatie"
"ID","identiteit"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","In hoeveel dagen moet de herinnerings e-mail worden herhaald, indien de regel-conditie nog steeds overeenkomt? Vul dagen in, gesepareerd door een komma."
"Inactive","Inactief"
"Interval","Interval"
"Items Quantity","Kwantiteit items"
"Items Subselection","Subselectie van items"
"Last Sent At","Laatst verstuurd op"
