"%d email(s) were sent.","%d E-Mail(s) wurde(n) versandt."
"%d item(s) have been added to gift registry.","%d Artikel wurde(n) zu Ihrem Geschenkregister hinzugefügt."
"%s","%s"
"* Required Fields","*Pflichtfelder"
"-- All --","-- Alle --"
"-- Please select --","-- Bitte auswählen --"
"Action","Aktion"
"Actions","Aktionen"
"Active","Aktiv"
"Add All To Gift Registry ","Alle zum Geschenkregister hinzufgen"
"Add All to Cart","Alle zum Warenkorb hinzufügen"
"Add Attribute","Attribute hinzufügen"
"Add Gift Registry Type","Geschenkregistertyp hinzufügen"
"Add New","Neuanlage"
"Add New Option","Neue Option hinzufügen"
"Add Recipient","Empfänger hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Gift Registry","Zur Geschenkliste"
"Added On","Hinzugefügt"
"Adding more than one attribute with the same static input type is not allowed for the same gift registry type. Please select another input type for your attribute.","Es ist nicht erlaubt, mehrere Attribute mit dem selben statischen Eingabetyp für den selben Geschenkregistertyp hinzuzufügen. Bitte wählen Sie einen anderen Eingabetyp für Ihr Attribut."
"Address","Adresse"
"Address is empty.","Adresse ist leer"
"All Forms","Alle Formulare"
"An error occurred while deleting gift registry.","Ein Fehler ist bei der Löschung der Geschenkregistrierung aufgetreten."
"An error occurred while editing gift registry.","Ein Fehler ist bei der Bearbeitung des Wunschzettels aufgetreten."
"An error occurred while sending email(s).","Ein Fehler ist beim Versenden der E-Mail(s) aufgetreten."
"An error occurred while sharing gift registry.","Ein Fehler ist beim Teilen des Wunschzettels aufgetreten."
"An item option with code %s already exists.","Eine Artikeloption mit dem Code %s existiert bereits."
"Are you sure you want to add these products?","Sind Sie sicher, dass Sie diese Produkte hinzufügen wollen?"
"Are you sure you want to delete this gift registry?","Sind Sie sicher, dass Sie dieses Geschenkregister köschen wollen?"
"Are you sure you want to remove this product from your wishlist?","Sind Sie sicher, dass Sie dieses Produkt von Ihrem Wunschzettel entfernen wollen?"
"Attribute Group","Attributgruppen"
"Attributes","Attribute"
"Back","Zurück"
"Cannot add item to shopping cart","Aritkel kann nicht zum Warenkorb hinzugefügt werden."
"Cannot specify product.","Produkt kann nicht spezifiziert werden"
"Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart.","Das Ändern der Anzahl von Geschenkregisteraritkel während des Checkouts ist nicht erlaubt. Sie können die Anzahl auf der Geschenkregister Info Seite oder direkt beim Warenkorb ändern."
"City","Stadt"
"Code","Code"
"Comment","Kommentar"
"Company","Firma"
"Country","Land"
"Create Gift Registry","Geschenkregister erstellen"
"Created On","Erstellt am"
"Created on","Erstellt am"
"Custom Types","Benutzerdefinierte Typen"
"Customer My Account GiftRegistry Add","Kunde Mein Konto Geschenkregister Hinzufügen"
"Customer My Account GiftRegistry Edit","Kunde Mein Konto Geschenkregister Bearbeiten"
"Customers","Kunden"
"Customize and Add to Gift Registry","Anpasen und zum Geschenkregister hinzufügen"
"Date","Datum"
"Date Format","Datumsformat"
"Default Template","Standardvorlage"
"Delete","Löschen"
"Delete Attribute","Attribut löschen"
"Delete Option","Option löschen"
"Delete Registry","Register löschen"
"Deleting this gift registry type will also remove all customers' gift registries created based on it. Are you sure you want to proceed?","Das Löschen dieses Geschenkregisters führt auch zur Entfernung aller von Kunden erstellen Geschenkregister, die auf diesem Register basieren. Wollen Sie trotzdem fortfahren?"
"Edit","Bearbeiten"
"Edit '%s' Gift Registry","Geschenkregister bearbeiten"
"Edit '%s' Gift Registry Type","Geschenkregistertyp bearbeiten"
"Edit Gift Registry","Geschenkregister bearbeiten"
"Edit Type","Typ bearbeiten"
"Email Address","E-Mail Adresse"
"Email Address:","E-Mail Adresse:"
"Email Sender","E-Mail Absender"
"Email Template","E-Mail Vorlage"
"Email:","E-Mail:"
"Emails","E-Mails"
"Enable Gift Registry","Geschenkregister aktivieren"
"Enter at least two letters","Geben Sie zumindest zwei Buchstaben ein"
"Enter at least two letters of the name","Geben Sie zumindest zwei Buchstaben des Namens ein"
"Event","Veranstaltung"
"Event Country","Veranstaltungsland"
"Event Date","Veranstaltungsdatum"
"Event Information","Veranstaltungsinformation"
"Event Location","Veranstaltungsort"
"Event Region Id","Veranstaltungsregion Id"
"Event Region Text","Veranstaltungsregion Text"
"Failed to add shopping cart items to gift registry.","Warenkorbartikel konnten nicht zum Geschenkregister hinzugefügt werden."
"Failed to add wishlist items to gift registry.","Wunschzettelartikel konnten nicht zum Geschenkregister hinzugefügt werden."
"Failed to delete gift registry entity.","Geschenkregister entity konnte nicht gelöscht werden."
"Failed to delete gift registry type.","Geschenkregistertyp konnte nicht gelöscht werden."
"Failed to save gift registry type.","Geschenkregistertyp konnte nicht gespeichert werden."
"Failed to save gift registry.","Geschenkregister konnte nicht gespeichert werden."
"Failed to send %1$d of %2$d email(s).","%1$d von %2$d E-Mail(s) konnten nicht verschickt werden."
"Failed to share gift registry.","Geschenkregister konnte nicht geteilt werden."
"Failed to update gift registry items list.","Aritkeliste des Geschenkregisters konnte nicht aktualisiert werden."
"Failed to update gift registry items.","Artikel im Geschenkregister konnten nicht aktualisiert werden."
"Fax","Fax"
"First Name","Vorname"
"First Name:","Vorname:"
"From","Von"
"Fulfilled","Erfüllt"
"Fulfilled Quantity","Erfüllte Menge"
"Full","Voll"
"General Information","Allgemeine Infromationen"
"General Options","Allgemeine Optionen"
"Gift Registry","Geschenkregister"
"Gift Registry Entity","Geschenkregister Entity"
"Gift Registry ID","Geschenkregister ID"
"Gift Registry ID Search","Geschenkregister ID Suche"
"Gift Registry Info","Geschenkregister Info"
"Gift Registry Items","Geschenkregister Artikel"
"Gift Registry Items Updated","Geschenkregister Artikel aktualisiert"
"Gift Registry Owner Notification","Geschenkregister Besitzerbenachrichtigung"
"Gift Registry Properties","Geschenkregister Eigenschaften"
"Gift Registry Quick Search Form","Geschenkregister Schnellsuche Formular"
"Gift Registry Search","Geschenkregister Suche"
"Gift Registry Section","Geschenkregister Abschnitt"
"Gift Registry Sharing","Geschenkregister Zugrirff"
"Gift Registry Type","Geschenkregister Typ"
"Gift Registry Update","Geschenkregister Update"
"Gift Registry has no items.","Geschenkregister enthält keine Artikel."
"Gift registry has been deleted.","Geschenkregister wurde gelöscht."
"Gift registry items have been updated.","Artikel im Geschenkregister wurden aktualisiert."
"Go","Los"
"ID","ID"
"Inactive","Inaktiv"
"Incorrect Type.","Inkorrekter Typ."
"Incorrect address selected.","Inkorrekte Adresse ausgewählt."
"Incorrect gift registry type.","Falscher Wunschzetteltyp."
"Incorrect recipient data.","Inkorrekte Empfängerdaten."
"Input Type","Eingabetyp"
"Invalid item option format.","Ungültiges Format für Artikeloption."
"Invalid product for adding item to quote.","Produkt ist nicht für das Hinzufügen zum Angebot gültig."
"Is Default","Ist Standard"
"Is Listed","Ist gelistet"
"Is Public","Ist öffentlich"
"Is Required","Ist verpflichtend"
"Is Searcheable","Ist suchbar"
"Items Fulfilled","Erfüllte Artikel"
"Items Remaining","Restliche Artikel"
"Label","Bezeichnung"
"Last Name","Nachname"
"Last Name:","Nachname:"
"Location","Ort"
"Long","Lang"
"Manage Customers","Kunden verwalten"
"Manage Gift Registry Types","Geschenkregistertypen verwalten"
"Manage Items","Artikel verwalten"
"Max Emails Allowed to be Sent at One Time","Maximale Anzahl an E-Mails, die auf einmal versandt werden dürfen"
"Max Recipients Limit","Maximales Empfängerlimit"
"Maximum %d email addresses allowed.","Maximale %d E-Mail Adressen erlaubt"
"Maximum %d recipients allowed.","Maximale %d Empfänger erlaubt"
"Medium","Medium"
"Message","Nachricht"
"Message:","Nachricht:"
"My Wishlist","Mein Wunschzettel"
"Name","Name"
"Name:","Name:"
"New Address","Neue Adresse"
