"%s order(s) have been archived.","%s ordens foram arquivadas."
"%s order(s) have been canceled.","%s ordens foram canceladas."
"%s order(s) have been put on hold.","%s ordens foram colocadas em espera."
"%s order(s) have been released from holding status.","%s ordens foram liberadas do estado de espera."
"%s order(s) have been removed from archive.","%s ordens foram removidas do arquivo."
"Archive","Arquivo"
"Archive Orders Purchased","Arquivo de Ordens Compradas"
"Column not found","Coluna não encontrada"
"Creditmemos","Notas de Crédito"
"Creditmemos Archive","Arquivo de Notas de Crédito"
"Enable Archiving","Ativar Arquivamento"
"Go to Archive (%s orders)","Ir para Arquivo (%s ordens)"
"Invoices","Faturas"
"Invoices Archive","Arquivo de Faturas"
"Move to Archive","Mover para Arquivo"
"Move to Order Managment","Mover para Gerenciamento de Ordem"
"Move to Orders Management","Mover para Gerenciamento de Ordens"
"Order Statuses to be Archive","Estado de Ordem para ser Arquivo"
"Orders","Ordens"
"Orders Archive","Arquivo de Ordens"
"Orders, Invoices, Shipments, Credit Memos Archiving","Ordens, Faturas, Embarques, Arquivamento de Notas de Crédito"
"Please specify order id to be archived.","Por favor especifique ID da ordem para ser arquivada."
"Please specify order id to be removed from archive.","Por favor especifique ID da ordem para ser removido do arquivo."
"Positioning column not found","Coluna de posicionamento não encontrado"
"Restore from Archive","Restaurar a partir de Arquivo"
"Sales Archive","Arquivo de Vendas"
"Selected order(s) cannot be archived.","Ordem(s) selecionada(s) não pode(m) ser arquivada(s)"
"Shipments","Envios"
"Shipments Archive","Arquivo de Envios"
"Table not found","Tabela não encontrada"
"The order has been archived.","A ordem foi arquivada."
"The order has been removed from the archive.","A ordem foi removida do arquivo."
"There are %s orders in archive. All of them will be moved to regular table after archive is disabled.","Existem %s ordens no arquivo. Todas elas serão movidas para a tabela normal após o arquivo estar desativado."
