"-- First Please Select a Website --","-- Selecteer eerst a.u.b. een website --"
"Action","actie"
"Active","Actief"
"Add Gift Card","Code toevoegen"
"Add Gift Card Account","Voeg cadeaukaart rekening toe"
"Additional information","Extra informatie"
"Alphabetical","Alfabetisch"
"Alphanumeric","Alfanumeriek"
"Are you sure you want to delete these gift card accounts?","Weet u zeker dat u deze rekeningen voor cadeaukaarten wilt verwijderen?"
"Available","Beschikbaar"
"Balance","Saldo"
"Balance Change","Verandering van saldo"
"Balance cannot be less than zero.","Saldo kan niet minder dan nul zijn."
"By admin: %s.","Door beheerder: %s."
"Cannot apply Gift Card","Kan cadeaukaart niet gebruiken"
"Cannot apply gift card.","Kan cadeaukaart niet gebruiken"
"Cannot redeem Gift Card.","Kan cadeaukaart niet inwisselen"
"Cannot remove Gift Card","Kan cadeaukaart niet verwijderen"
"Cannot remove gift card.","Kan cadeaukaart niet verwijderen"
"Check","Controleer"
"Check Gift Card status and balance","Controleer status van de cadeaukaart en saldo"
"Check status and balance","Controleer status en saldo"
"Code","Code"
"Code Format","Formaat code"
"Code Length","Lengte code"
"Code Prefix","Toevoeging code"
"Code Suffix","Navoeging code"
"Created","Gemaakt"
"Current Balance: %s","Huidige saldo: %s"
"Customer #%s.","Klant #%s."
"Customer My Account Gift Card Check Form","Klant mijn rekening cadeaukaart controleer formulier"
"Customers","klanten"
"Dash Every X Characters","Streep na elke X karakters"
"Date","Datum"
"Date Created","Datum gecreëerd"
"Delete","weghalen"
"Do you really want to proceed? All unsaved changes will be lost.","Wilt u echt doorgaan? Alle niet-opgeslagen veranderingen zullen verloren gaan."
"Edit Gift Card Account","Bewerk cadeaukaart rekening"
"Edit Gift Card Account: %s","Bewerk cadeaukaart rekening: %s"
"Email Sent from Gift Card Account Management","E-mail verzonden vanaf cadeaukaart rekening management"
"Email Template","E-mail template"
"Email was not sent because the gift card account is not active.","E-mail is niet verzonden, omdat de rekening van de cadeaukaart niet actief is"
"Enter Gift Card code","Voeg code voor cadeaukaart in"
"Enter gift card code","Voer uw geschenkbon code in"
"Enter the gift card code","Voeg de code voor de cadeaukaart in"
"Excluding prefix, suffix and separators.","Toevoegingen en separatoren niet bijvoegen"
"Expiration Date","Verloop datum"
"Expiration date cannot be in the past.","De vervaldatum mag niet in het verleden liggen."
"Expired","Verlopen"
"Expires: %s","Verloopt op: %s"
"Generate","Maak aan"
"Gift Card","Cadeaubon"
