"200 OK","200 OK"
"503 Service Unavailable","503 Dienst nicht verfügbar"
"Access Restriction","Zugangsbeschränkung"
"Applicable only if restriction mode is ""Website Closed"". Landing page is rendered as raw HTML.","Nur anwendbar, wenn der Beschränkungsmodus ""Webseite geschlossen"" ist. Die Landing-Page wird als RAW HTML ausgegeben."
"Applicable only in ""Private Sales"" mode.","Nur anwendbar, wenn im ""Privatverkäufe""-Modus."
"CMS Content Wrapper","CMS Content Wrapper"
"HTTP Response","HTTP Antwort"
"Landing Page","Zielseite"
"Main Content Area","Haupt-Inhaltsbereich"
"Private Sales: Login Only","Privatverkäufe: Nur anmelden"
"Private Sales: Login and Register","Privatverkäufe: Anmelden und Registrieren"
"Restriction Mode","Einschränkungsmodus"
"Startup Page","Startseite"
"To landing page (302 Found)","Zur Zielseite (302 Gefunden)"
"To login form (302 Found)","Zum Anmeldeformular (302 Gefunden)"
"Website Closed","Website geschlossen"
"Website Closed Private Sales Landing Page","Website geschlossen Privatverkauf Zielseite"
"Website Closed Stub Page","Website geschlossen Stub Seite"
