"-- None --","--无--"
"Active","活动"
"Add Banner","添加条幅"
"An error occurred while deleting banner data. Please review log and try again.","删除条幅数据时出错。请查看日志并重试。"
"An error occurred while mass deleting banners. Please review log and try again.","批量删除条幅时出错。请查看日志并重试。"
"Any","任意"
"Any Banner Type","任意条幅类型"
"Applies To","应用到"
"Applies to Any of the Specified Customer Segments","应用到任何指定的客户片段"
"Are you sure you want to delete these banners?","您是否确定要删除这些条幅？"
"Banner Block Template","条幅阻止模板"
"Banner Default Content for All Store Views","所有店铺视图的默认条幅内容"
"Banner Information","条幅信息"
"Banner Inline Template","条幅内联摸板"
"Banner Name","条幅名称"
"Banner Properties","条幅属性"
"Banner Rotator","条幅旋转"
"Banner Types","条幅类型"
"Banners","条幅"
"Banners to Display","要显示的条幅"
"CMS","CMS"
"Catalog Promotions Related","相关的分类促销"
"Content","内容"
"Content Area","内容区域"
"Customer Segments","客户片段"
"Default Content","默认内容"
"Delete","删除"
"Delete Banner","删除条幅"
"Displays Specified or Promotion Banners","显示指定的或促销条幅"
"Do not rotate, display all at once","不轮换，同时显示全部"
"Edit Banner","编辑条幅"
"Footer","脚注"
"Header","头部"
"ID","ID"
"Left Column","左栏"
"Manage Banners","管理条幅"
"Name must not be empty.","名称不能为空。"
"New Banner","新建条幅"
"No","否"
"No Default Content","无默认内容"
"One at the time, Random","一次一个，随机"
"One at the time, Series","一次一个，按顺序"
"One at the time, Shuffle","一次一个，无序"
"Please select banner(s).","请选择条幅。"
"Please specify default content for at least one store view.","请为至少一个店铺视图指定默认内容。"
"Position","位置"
"Related Banners","相关条幅"
"Related Catalog Price Rules","相关分类价格规则"
"Related Promotions","相关促销"
"Related Shopping Cart Price Rules","相关购物车价格规则"
"Restrict by Banner Types","被条幅类型所限制"
"Right Column","右栏"
"Rotation Mode","轮换模式"
"Save Banner","保存条幅"
"Save and Continue Edit","保存并继续编辑"
"Shopping Cart Promotions Related","购物车促销相关"
"Specified","已指定"
"Specified Banner Types","指定的条幅类型"
"Specified Banners","指定的条幅"
"Specify Banners","指定的条幅"
"Specify Types","指定的类型"
"Store View Specific Content","店铺视图指定的内容"
"The banner has been deleted.","该条幅已被删除。"
"The banner has been saved.","该条幅已被保存。"
"This banner no longer exists.","该条幅不存在。"
"Total of %d record(s) have been deleted.","总共%d记录已被删除。"
"Unable to find a banner to delete.","无法找到要删除的条幅。"
"Unable to save the banner.","无法保存该条幅。"
"Use Default","使用默认值"
"Visible In","可见性"
"Yes","是"
