"Authorization transaction is required to void.","Vergunning transactie is nodig om te laten vervallen."
"Data Transfer Key","Data Transfer Sleutel"
"Debug","Fouten opsporen in programma"
"Enabled","Ingeschakeld"
"Gateway Basic URL","Gateway Basis URL"
"Gives effect only when payment bridge is active.","Geeft alleen effect wanneer de betalings brug actief is."
"IPN postback HTTP error: %s","IPN postback HTTP Fout: %s"
"IPN postback Validation error: %s","IPN postback Validatie Fout: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Onmogelijk om een restitutie transactie toe te wijzen, omdat ontvangende transactie niet bestaan."
"Merchant Code","Handelaars Code"
"Merchant Key","Handelaars Sleutel"
"Payment Bridge","Betalings Brug"
"Payment Bridge Selected","Betalings Brug Geselecteerd"
"Payment Bridge authentication data is not present","Betalings Brug authenticatie van gegevens is niet aanwezig"
"Payment Bridge service error.","Betalings Brug service fout."
"Payment Bridge service error: %s","Betalings Brug service fout: %s"
"Payment Method Code is not passed.","Betaalmethode code wordt niet doorgegeven."
"Unable to communicate with Payment Bridge service.","Niet in staat om te communiceren met Payment Bridge service."
"Use via Payment Bridge","Gebruiken via Payment Bridge"
