"%d email(s) were sent.","%d 封邮件已发送。"
"%d item(s) have been added to gift registry.","%d 个项目已添加到礼品注册中。"
"%s","%s"
"* Required Fields","*必要字段"
"-- All --","-- 全部 --"
"-- Please select --","--请选择--"
"Action","操作"
"Actions","操作"
"Active","活动"
"Add All To Gift Registry ","全部添加到礼品注册"
"Add All to Cart","全部添加到购物车"
"Add Attribute","添加属性"
"Add Gift Registry Type","添加礼品注册类型"
"Add New","添加新内容"
"Add New Option","添加新选项"
"Add Recipient","添加收件人"
"Add to Cart","添加到购物车"
"Add to Gift Registry","添加到礼品注册"
"Added On","添加于"
"Adding more than one attribute with the same static input type is not allowed for the same gift registry type. Please select another input type for your attribute.","对于同一个礼品注册类型，不能添加多个使用相同静态输入类型的属性。请为您的属性选择其他输入类型。"
"Address","地址"
"Address is empty.","地址为空。"
"All Forms","所有表单"
"An error occurred while deleting gift registry.","删除礼品卡的注册时遇到了错误。"
"An error occurred while editing gift registry.","编辑礼品的注册时遇到了错误。"
"An error occurred while sending email(s).","发送电子邮件时遇到了错误。"
"An error occurred while sharing gift registry.","共享礼品的注册时遇到了错误。"
"An item option with code %s already exists.","代码为 %s 的项已经存在。"
"Are you sure you want to add these products?","您是否确认要添加这些产品？"
"Are you sure you want to delete this gift registry?","您是否确认要删除该礼品注册？"
"Are you sure you want to remove this product from your wishlist?","您是否确认要从愿望清单中删除该产品？"
"Attribute Group","属性组"
"Attributes","属性"
"Back","返回"
"Cannot add item to shopping cart","无法添加内容到购物车"
"Cannot specify product.","无法指定产品。"
"Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart.","结账时不能更改礼品注册项的数量。您可以在礼品注册信息页面更改数量，或直接在购物车中更改。"
"City","城市"
"Code","代码"
"Comment","评论"
"Company","公司"
"Country","国家"
"Create Gift Registry","创建礼品注册"
"Created On","创建于"
"Created on","创建于"
"Custom Types","自定义类型"
"Customer My Account GiftRegistry Add","客户我的帐户礼品注册添加"
"Customer My Account GiftRegistry Edit","客户我的帐户礼品注册编辑"
"Customers","客户"
"Customize and Add to Gift Registry","自定义并添加到礼品注册"
"Date","日期"
"Date Format","日期格式"
"Default Template","默认模板"
"Delete","删除"
"Delete Attribute","删除属性"
"Delete Option","删除选项"
"Delete Registry","删除注册"
"Deleting this gift registry type will also remove all customers' gift registries created based on it. Are you sure you want to proceed?","删除该礼品注册类型将删除根据该类型创建的所有礼品注册。您是否确认要继续？"
"Edit","编辑"
"Edit '%s' Gift Registry","编辑 '%s' 的礼品注册"
"Edit '%s' Gift Registry Type","编辑 '%s' 的礼品注册类型"
"Edit Gift Registry","编辑礼品注册"
"Edit Type","编辑类型"
"Email Address","编辑电子邮件地址"
"Email Address:","电子邮件地址："
"Email Sender","电子邮件发送人"
"Email Template","电子邮件模板"
"Email:","电子邮件："
"Emails","电子邮件"
"Enable Gift Registry","启用礼品注册"
"Enter at least two letters","输入至少两个字母"
"Enter at least two letters of the name","输入姓名的至少两个字母"
"Event","事件"
"Event Country","事件国家"
"Event Date","事件日期"
"Event Information","事件信息"
"Event Location","事件位置"
"Event Region Id","事件地区编号"
"Event Region Text","事件地区文字"
"Failed to add shopping cart items to gift registry.","将购物车项目添加到礼品注册时失败。"
"Failed to add wishlist items to gift registry.","添加愿望清单项目到礼品注册时失败。"
"Failed to delete gift registry entity.","删除礼品注册项时失败。"
"Failed to delete gift registry type.","删除礼品注册类型时失败。"
