"""%s"" exceeds the allowed length.","""%s""超过了允许的尺寸。"
"""%s"" invalid type entered.","""%s""无效输入。"
"""%s"" is not a valid email address.","""%s""不是一个有效的电子邮件地址。"
"""%s"" is not a valid hostname.","""%s""不是一个有效的主机名。"
"#","#"
"%s RMA (s) have been closed.","%s RMA 已被关闭。"
"%s RMA(s) cannot be closed","%s RMA 无法被关闭"
"%s for item %s cannot be empty.","%s（项目 %s）不能为空。"
"About This Order:","关于此订单："
"Action","操作"
"Add","添加"
"Add Details","添加详情"
"Add Item To Return","添加项目到退货"
"Add New Attribute","添加新属性"
"Add Products","添加产品"
"Add Selected Product(s) to RMA","添加选定的产品到 RMA"
"All Items","所有项目"
"An error occurred while deleting the RMA item attribute.","删除 RMA 项目属性时发生错误。"
"An error occurred while saving the RMA item attribute.","保存 RMA 项目属性时发生错误。"
"Answers","答案"
"Approved","已批准"
"Approved Qty","已审核通过的数量"
"Are you sure you want to cancel this RMA?","您确认要取消该 RMA 吗？"
"Are you sure you want to delete this tracking information?","您确认要删除该追踪信息吗？"
"Attribute Information","属性信息"
"Attribute is no longer exists.","属性不存在。"
"Attribute with the same code already exists","使用相同代码的属性已存在"
"Authorized","已授权"
"Authorized Qty","已授权数量"
"Back","返回"
"Cancel","取消"
"Cannot add RMA history.","无法添加 RMA 历史记录。"
"Cannot add label.","无法添加标签。"
"Cannot add message.","无法添加消息。"
"Cannot add tracking number.","无法追踪编号。"
"Cannot create New Return, try again later","无法创建新退货，请稍后重试"
"Cannot create rma for order #%s.","无法为订单 #%s 创建 RMA。"
"Cannot delete label.","无法删除标签。"
"Cannot delete tracking number.","无法删除追踪编号。"
"Cannot display available shipping methods.","无法显示可用的运送方式。"
"Cannot display item attributes.","无法显示商品属性。"
"Cannot get product list.","无法获得产品列表。"
"Cannot initialize rma for adding tracking number.","无法为添加追踪号码初始化 RMA。"
"Cannot initialize rma for delete tracking number.","无法为删除追踪号码初始化 RMA。"
"Cannot load track with retrieving identifier.","无法用获取的标识符加载追踪。"
"Carrier","运营商"
"City","城市"
"Click to change shipping method","点击更改送货方法"
"Close","关闭"
"Close Window","关闭窗口"
"Closed","已关闭"
"Comma separated","逗号分隔"
"Comma-separated.","逗号分隔。"
"Comment Text","评论文字"
"Comments","评论"
"Condition","条件"
"Contact Email Address","联络邮箱"
"Contact Name","联系人名字"
"Country","国家"
"Create New RMA","创建新的RMA"
"Create New RMA for %s","为%创建新的RMA"
"Create New RMA for %s in %s","在%创建新的RMA为%"
"Create New Return","创建新的返回"
"Create RMA","创建RMA"
"Create Shipping Label","创建运送标签"
"Customer","客户"
"Customer My Account Order Returns View","客户 我的帐户 订单 返回 查看"
"Customer My Account Return View","客户 我的帐户 返回 查看"
"Customer My Return Create","客户 返回 创建"
"Customer My Returns History","客户 我的返回历史"
"Customer Name","顾客姓名"
"Customer Service","客户服务"
"Customs Value","自定义值"
"Date","日期"
"Date Requested","请求日期"
"Delete","删除"
"Delete Attribute","删除属性"
"Delete Line","删除线条"
"Denied","已拒绝"
"Details","详情"
"Dropdown","下拉菜单"
"Edit RMA Item Attribute","编辑RMA项目属性"
"Edit RMA Item Attribute ""%s""","编辑RMA项目属性""%s"""
"Email Address","编辑电子邮件地址"
"Email RMA Confirmation","RMA邮件确认"
"Enable RMA on Frontend","前端启用RMA"
"Enable RMA on Product Level","在产品级别启用RMA"
"Enabled","已启用"
"Enabled for RMA","启用RMA"
"Enabled when authorized items require a new shipment","授权项目需要新的传送时启用"
"Enter valid Tracking Number.","请输入有效的跟踪号码。"
"Enter valid message.","输入有效的信息。"
"Failed to save RMA.","无法保存RMA。"
"File Extensions","文件扩展"
"Forms to Use In","表单将用于"
"Frontend Properties","前端属性"
"General Information","常规信息"
"Guest Order Create Return","客户订单 创建 返回"
"Guest Order Returns View","客户 订单 返回 查看"
"Guest Order View Return","客户 订蛋 查看 返回"
"Height","高度"
"Hide Details","隐藏详细信息"
"ID","ID"
"Image File","图像文件"
"Individual Items","个人项目"
"Input Type","输入类型"
"Input Validation","输入验证"
"Input/Output Filter","输入/输出筛选器"
"Invalid RMA.","无效的RMA。"
"Invalid carrier: %s.","无效的载体：％s"
"Invalid order.","无效订单。"
"It isn\'t valid order","无效订单"
"Item","商品"
"Item Condition","项目条件"
"Items","项目"
"Items Return Requested For","项目返回请求"
"Items in the Package","包裹中的商品"
"Leave Comment","留下评注"
"Length","长度"
"Lines Count","行数"
"Manage Label / Options","管理标签/选项"
"Manage RMA","管理 RMA"
"Manage RMA Item Attribute","管理 RMA 商品属性"
"Manage RMA Item Attributes","管理 RMA 商品属性"
"Manage RMA Items Attributes","管理 RMA 商品属性"
"Maximum File Size (bytes)","最大文件体积（字节）"
"Maximum Image Height (px)","最大图像高度（像素）"
"Maximum Image Width (px)","最大图像宽度（像素）"
"Maximum Text Length","最大文字长度"
"Minimum Text Length","最小文字长度"
"My Returns","我的退货"
