"Add Amount","Añadir Importe"
"All Websites","Todos los Sitios Web"
"Allow Gift Message","Permitir Mensaje de Regalo"
"Allow Message","Permitir Mensaje"
"Amount","Importe"
"Amount in %s","Importe en %s"
"An error has occurred while preparing Gift Card.","Se ha producido un error mientras se preparaba Gift Card."
"Card Type","Tipo de Tarjeta"
"Catalog Product View (Gift Card)","Vista de Producto de Catálogo (Tarjeta Regalo)"
"Choose an Amount...","Elija un Importe..."
"Combined","Combinado"
"Delete","Eliminar"
"Delete Amount","Borrar Importe"
"Email Template","Plantilla de email"
"Entered amount is too high","El importe introducido es demasiado alto"
"Entered amount is too low","El importe introducido es demasiado bajo"
"From","De"
"Generate Gift Card Account when Order Item is","Generar Cuenta de Tarjeta Regalo cuando el Elemento de Pedido sea"
"Gift Card","Cheque regalo"
"Gift Card Accounts","Cuentas de Tarjeta Regalo"
"Gift Card Accounts Generated From Gift Card","Cuentas de Tarjeta Regalo Generadas A Partir de Tarjeta Regalo"
"Gift Card Email Settings","Configuración de E-mail de Tarjeta Regalo"
"Gift Card General Settings","Configuración General de Tarjeta Regalo"
"Gift Card Information","Información de Tarjeta Regalo"
"Gift Card Is Redeemable","La Tarjeta Regalo Es Canjeable"
"Gift Card Lifetime","Vigencia de Tarjeta Regalo"
"Gift Card Message","Mensaje de Tarjeta Regalo"
"Gift Card Notification Email Sender","Remitente de E-mail de Notificación de Tarjeta Regalo"
"Gift Card Notification Email Template","Plantilla de E-mail de Notificación de Tarjeta Regalo"
"Gift Card Recipient","Destinatario de Tarjeta Regalo"
"Gift Card Sender","Remitente de Tarjeta Regalo"
"Gift Card Type","Tipo de Tarjeta Regalo"
"Gift Card max amount is %s","El importe máx. de la Tarjeta Regalo es %s"
"Gift Card min amount is %s","El importe mín. de la Tarjeta Regalo es %s"
"Gift Message Maximum Length","Longitud Máxima del Mensaje de Regalo"
"If empty no expiration.","Si está vacío no hay caducidad."
"Invoiced","Facturado"
"Is Redeemable","Es Canjeable"
"Lifetime (days)","Vigencia (días)"
"Maximum length of the message is %d characters.","La longitud máxima del mensaje es %d caracteres."
"Maximum: %s","Máximo: %s"
"Message","Mensaje"
"Minimum: %s","Mínimo: %s"
"N/A","N/A"
"No","No"
"Ordered","Pedido"
"Other Amount...","Otro Importe..."
"Physical","Físico"
"Please specify Gift Card amount.","Por favor, especifique el importe de la Tarjeta Regalo"
"Please specify all the required information.","Por favor, especifique toda la información solicitada."
"Please specify recipient email.","Por favor, especifique el e-mail del destinatario."
"Please specify recipient name.","Por favor, especifique el e-mail del destinatario."
"Please specify sender email.","Por favor, especifique el e-mail del remitente"
"Please specify sender name.","Por favor, especifique el nombre del remitente."
"Quantity","Cantidad"
"Recipient Email","E-mail del Destinatario"
"Recipient Name","Nombre del Destinatario"
"Redeemable","Canjeable"
"Sender Email","E-mail del Remitente"
"Sender Name","Nombre del Remitente"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","Algunas cuentas de Gift Card no se han generado correctamente. Puede usted crearlas manualmente <a href=""%s"">here</a>."
"Unable to create.","No se puede crear."
"Up To","Hasta"
"Use Config Settings","Usar Opciones de Configuración"
"Virtual","Virtual"
"Yes","Sí"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VISTA DE TIENDA]"
