"Add Amount","添加数量"
"All Websites","所有网站"
"Allow Gift Message","允许礼品信息"
"Allow Message","允许信息"
"Amount","数量"
"Amount in %s","数量为 %s"
"An error has occurred while preparing Gift Card.","处理礼品卡时遇到了错误。"
"Card Type","卡类型"
"Catalog Product View (Gift Card)","分类产品视图（礼品卡）"
"Choose an Amount...","选择数量..."
"Combined","已组合"
"Delete","删除"
"Delete Amount","删除数量"
"Email Template","电子邮件模板"
"Entered amount is too high","输入的数量太大"
"Entered amount is too low","输入的数量太小"
"From","来自"
"Generate Gift Card Account when Order Item is","生成礼品卡帐户，如果订单项为"
"Gift Card","礼品卡"
"Gift Card Accounts","礼品卡帐户"
"Gift Card Accounts Generated From Gift Card","从礼品卡生成礼品卡帐户"
"Gift Card Email Settings","礼品卡邮件设置"
"Gift Card General Settings","礼品卡常规设置"
"Gift Card Information","礼品卡信息"
"Gift Card Is Redeemable","礼品卡可兑换"
"Gift Card Lifetime","礼品卡有效期"
"Gift Card Message","礼品卡信息"
"Gift Card Notification Email Sender","礼品卡通知邮件发送者"
"Gift Card Notification Email Template","礼品卡通知邮件模板"
"Gift Card Recipient","礼品卡收件人"
"Gift Card Sender","礼品卡发送者"
"Gift Card Type","礼品卡类型"
"Gift Card max amount is %s","礼品卡最大数量为 %s"
"Gift Card min amount is %s","礼品卡最小数量为 %s"
"Gift Message Maximum Length","礼品信息最大长度"
"If empty no expiration.","如果为空则不过期。"
"Invoiced","已出发票"
"Is Redeemable","已兑换"
"Lifetime (days)","有效期（天）"
"Maximum length of the message is %d characters.","信息的最大长度为 %s个字符。"
"Maximum: %s","最大值：%s"
"Message","信息"
"Minimum: %s","最小值：%s"
"N/A","N/A"
"No","否"
"Ordered","已下单"
"Other Amount...","其他数量..."
"Physical","物理"
"Please specify Gift Card amount.","请选择礼品卡数量。"
"Please specify all the required information.","请指定所有必要信息。"
"Please specify recipient email.","请指定收件人邮件。"
"Please specify recipient name.","请指定收件人姓名。"
"Please specify sender email.","请指定发送人邮件。"
"Please specify sender name.","请指定发送人姓名。"
"Quantity","数量"
"Recipient Email","收件人邮件"
"Recipient Name","收件人姓名"
"Redeemable","可兑换"
"Sender Email","发送人邮件"
"Sender Name","发送人姓名"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","某些礼品卡帐户尚未正确生成。您可以手工创建礼品卡帐户，请 <a href=""%s"">点击这里</a>。"
"Unable to create.","无法创建。"
"Up To","最多"
"Use Config Settings","使用配置设置"
"Virtual","虚拟的"
"Yes","是"
"[GLOBAL]","[全局]"
"[STORE VIEW]","[店铺视图]"
