"Admin Accounts Locks","Verrous Comptes Administrateurs"
"Auto-generate a Key","Générer automatiquement une Clé"
"Change Encryption Key","Modifier Clé de Chiffrement"
"Encryption Key Change","Modification Clé de Chiffrement"
"Encryption key format is invalid.","Format de Clé de Chiffrement invalide."
"Encryption key has been changed.","La clé de chiffrement a été modifiée."
"Failures","Echecs"
"File %s is not writeable.","Le fichier %s est en lecture seule."
"Forced","Forcé"
"ID","Identifiant"
"If empty, this feature will be disabled.","Si vide, cette fonctionnalité sera désactivée."
"Last login","Dernière connexion"
"Locked Admins","Admins verrouillés"
"Locked Users","Utilisateurs verrouillés"
"Locked administrators","Administrateurs verrouillés"
"Locked until","Verrouillé jusqu'"
"Lockout Time (minutes)","Heure de déverrouillage (minutes)"
"Manage Encription Key","Gérer Clé de Chiffrement"
"Manage Encryption Key","Gérer Clé de Chiffrement"
"Maximum Login Failures to Lockout Account","Nombre maxi d'échecs de connexion pour déverrouiller le compte"
"New Encryption Key","Nouvelle Clé de Chiffrement"
"New Key","Nouvelle Clé"
"Password Change","Modification du Mot de Passe"
"Password Lifetime (days)","Durée de vie du Mot de Passe (jours)"
"Permissions","Autorisations"
"Please enter an encryption key.","Merci d'entrer une clé de chiffrement"
"Recommended","Recommandé"
"System","Système"
"The encryption key is used to encrypt passwords and other sensitive data.","La clé de chiffrement est utilisée pour crypter les mots de passe et autres données confidentielles."
"The generated key will be displayed after changing.","La clé générée apparaîtra après changement."
"This account is locked.","Le compte est verrouillé."
"This password was used earlier, try another one.","Ce mot de passe a déjà été utilisé, essayez-en un autre."
"To make key change possible, make sure the following file is writeable: %s","Pour pouvoir modifier la clé, assurez-vous que le fichier suivant n'est pas en lecture seule: %s"
"Unlock","Déverrouiller"
"Unlocked %d user(s).","Utilisateur(s) %d déverrouillé(s)."
"Username","Nom d'utilisateur"
"Your new encryption key: <span style=""font-family:monospace;"">%s</span>. Please make a note of it and make sure you keep it in a safe place.","Votre nouvelle clé de cryptage : <span style=""font-family:monospace;"">%s</span>. Veuillez en prendre note, et assurez-vous de la conserver dans un endroit sûr."
"Your password has expired, please <a href=""%s"">change it</a>.","Votre mot de passe a expiré, veuillez <a href=""%s"">le modifier</a>."
"Your password has expired, please contact administrator.","Votre mot de passe a expiré, merci de contacter l'administrateur."
"Your password has expired, you must change it now.","Votre mot de passe a expiré, vous devez le modifier immédiatement."
