"200 OK","200 OK"
"503 Service Unavailable","503  Service non disponible"
"Access Restriction","Accès restreint"
"Applicable only if restriction mode is ""Website Closed"". Landing page is rendered as raw HTML.","S'applique uniquement si le mode de restriction est « Site Web fermé ». La page d'accueil est affichée en HTML brut."
"Applicable only in ""Private Sales"" mode.","S'applique uniquement en mode « Ventes privées »."
"CMS Content Wrapper","CMS Content Wrapper"
"HTTP Response","Réponse HTTP"
"Landing Page","Page d'atterrissage"
"Main Content Area","Zone de contenu principal"
"Private Sales: Login Only","Ventes privées: Connexion seulement"
"Private Sales: Login and Register","Ventes privées: Connexion et enregistrement"
"Restriction Mode","Mode restriction"
"Startup Page","Page de démarrage"
"To landing page (302 Found)","Vers la page d'atterrissage (302 trouvée)"
"To login form (302 Found)","Vers le formulaire de connexion (302 trouvée)"
"Website Closed","Site internet fermé"
"Website Closed Private Sales Landing Page","Site internet fermé Page d'atterrissage des ventes privées"
"Website Closed Stub Page","Site internet fermé Page talon"
